,PREFERRED NAME,CASRN,SMILES,use
44,"10,10'-Oxybisphenoxyarsine",58-36-6,O([As]1c2ccccc2Oc3ccccc13)[As]4c5ccccc5Oc6ccccc46,"Fungicide,Microbiocide"
45,"1,080",62-74-8,[Na+].[O-]C(=O)CF,"Insecticide,Rodenticide"
47,Tralopyril,122454-29-9,FC(F)(F)c1[nH]c(c2ccc(Cl)cc2)c(C#N)c1Br,Molluscicide
48,2-((2-amino ethyl) amino) ethanol dodecyl benzene sulfonate,68084-55-9,CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1.NCCNCCO,"Adjuvant,Fungicide,Insecticide,Microbiocide"
49,2-((hydroxymethyl)amino) ethanol,34375-28-5,OCCNCO,Microbiocide
50,2-((hydroxymethyl)amino)-2-methyl-1-propanol,52299-20-4,CC(C)(CO)NCO,Microbiocide
51,2-(2-(p-(diisobutyl) phenoxy) ethoxy) ethyl dimethyl ammonium chloride,121-54-0,[Cl-].CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,Microbiocide
52,2-(2-butoxy ethoxy) ethyl thiocyanate,112-56-1,CCCCOCCOCCSC#N,Insecticide
53,"2-(2,4-DP), dimethylamine salt",53404-32-3,CNC.CC(Oc1ccc(Cl)cc1Cl)C(O)=O,"Herbicide,Plant Growth Regulator"
54,2-(2'-hydroxy-5-methyl phenyl)-benzotriazole,2440-22-4,Cc1ccc(O)c(c1)n2nc3ccccc3n2,Fungicide
55,2-(4-chlorophenylmethyl)-3(2H)-isothiazolone,26530-09-6,Clc1ccc(CN2SC=CC2=O)cc1,Microbiocide
56,"2-(4,5-Dimethyl-1,3-dioxolan-2-yl)phenyl-N-methylcarbamate",7122-04-5,CNC(=O)Oc1ccccc1C2OC(C)C(C)O2,Insecticide
57,"2-(chlorophenoxy)propionic acid, sodium salt",53404-22-1,[Na+].CC(Oc1cccc(Cl)c1)C([O-])=O,"Herbicide,Plant Growth Regulator"
58,"2-(Decylthio)ethanamine, hydrochloride salt",36362-09-1,[H+].[Cl-].CCCCCCCCCCSCCN,Microbiocide
59,2-(Diethylamino)-4-(isopropylamino)-6-methoxy-s-triazine,3004-70-4,CCN(CC)c1nc(NC(C)C)nc(OC)n1,Herbicide
61,2-(p-Hydroxyphenyl)oxoacetohydroximic chloride,34911-46-1,O\N=C(Cl)\C(=O)c1ccc(O)cc1,Microbiocide
63,2-(trichlorophenoxy)ethyl hydrogen sulfate,69633-04-1,O[S](=O)(=O)OCCOc1ccc(Cl)c(Cl)c1Cl,Herbicide
70,2-bromo-4-hydroxyacetophenone,2491-38-5,Oc1ccc(cc1)C(=O)CBr,Microbiocide
71,2-butoxy ethanol phosphate,78-51-3,CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC,"Fungicide,Microbiocide"
72,2-Butoxyethanol,111-76-2,CCCCOCCO,"Adjuvant,Fungicide,Microbiocide,Solvent"
73,2-chloro-4-((hydroxymethyl)amino)-6-(isopropylamino)-s-triazine,29450-57-5,CC(C)Nc1nc(Cl)nc(NCO)n1,Herbicide
74,2-chloro-4-phenylphenol,92-04-6,Oc1ccc(cc1Cl)c2ccccc2,Microbiocide
75,"2-chloro-4-phenylphenol, potassium salt",18128-16-0,[K+].[O-]c1ccc(cc1Cl)c2ccccc2,Microbiocide
76,"2-chloro-4-phenylphenol, sodium salt",31366-97-9,[Na+].[O-]c1ccc(cc1Cl)c2ccccc2,Microbiocide
77,"2-chloro-4,5-xylyl N-hydroxy-N-methylcarbamate","14357-82-5, 10310-17-5",CN(O)C(=O)Oc1cc(C)c(C)cc1Cl,Insecticide
78,2-Chlorophenol,95-57-8,Oc1ccccc1Cl,Microbiocide
79,"2-cyclohexyl-4,5-dichloro-4-isothioazolin-3-one",57063-29-3,ClC1=C(Cl)C(=O)N(S1)C2CCCCC2,Insecticide
80,2-cyclopentylphenyl methylcarbamate,3282-00-6,CNC(=O)Oc1ccccc1C2CCCC2,Insecticide
83,2-EEEBC,62732-91-6,CCOCCOCCOC(=O)Nc1[nH]c2ccccc2n1,Fungicide
84,2-ethoxyethanol,110-80-5,CCOCCO,"Chemical intermediate,Fuel or fuel additive,Fungicide,Microbiocide,Paints, coatings, resins,Solvent"
85,2-Heptadecenyl-2-imidazoline,30968-43-5,CCCCCCCCCCCCCC\C=C/CC1=NCCN1,"Algaecide,Microbiocide"
86,2-heptadecyl-1-hydroxyethyl-imidazolinium hydrochloride,53466-92-5,Cl.CCCCCCCCCCCCCCCCCC1=NCC[NH+]1C(C)O,"Algaecide,Microbiocide"
87,2-heptadecyl-1-methyl-1-(2-stearoyl amide) ethyl) imidazoliniummethyl sulfate,13470-50-3,CCCCCCCCCCCCCCCCCC(=O)NCC[N+]1(C)CCN=C1CCCCCCCCCCCCCCCCC.CO[S]([O-])(=O)=O,Microbiocide
89,2-hydroxyethyl octyl sulfide,3547-33-9,CCCCCCCCSCCO,Insecticide
90,2-Hydroxyphenyl methylcarbamate,10309-97-4,CNC(=O)Oc1ccccc1O,Insecticide
91,"2-isovaleryl 1-1,3-indandione",83-28-3,CC(C)CC(=O)C1C(=O)c2ccccc2C1=O,Rodenticide
92,"2-isovaleryl 1-1,3-indandione, calcium salt",23710-76-1,[Ca++].CC(C)CC(=O)[C-]1C(=O)c2ccccc2C1=O.CC(C)CC(=O)[C-]3C(=O)c4ccccc4C3=O,Rodenticide
94,2-Lauryl isoquinolinium bromide,93-23-2,[Br-].CCCCCCCCCCCC[n+]1ccc2ccccc2c1,"Fungicide,Microbiocide"
95,2-Mercaptobenzothiazole,149-30-4,S=C1Nc2ccccc2S1,"Fungicide,Microbiocide"
96,"2-Mercaptobenzothiazole, 1-(hydroxyethyl)pyridinium salt",5468-43-9,OCC[n+]1ccccc1.[S-]c2sc3ccccc3n2,"Fungicide,Microbiocide"
99,"2-Mercaptobenzothiazole, monoethanolammonium salt",5902-85-2,NCCO.S=C1Nc2ccccc2S1,"Fungicide,Microbiocide"
100,"2-Mercaptobenzothiazole, potassium salt",7778-70-3,[K].S=C1Nc2ccccc2S1,"Fungicide,Microbiocide"
101,"2-Mercaptobenzothiazole, sodium salt",2492-26-4,[Na+].[S-]c1sc2ccccc2n1,"Fungicide,Microbiocide"
103,2-methyl-1-naphthalene acetamide,85-07-4,Cc1ccc2ccccc2c1CC(N)=O,Fungicide
104,"2-Methyl-3(2H)-isothiazolone, calcium chloride complex",57373-20-3,[Cl-].[Cl-].[Ca++].CN1SC=CC1=O,Microbiocide
105,2-methyl-4-isothiazolin-3-one,2682-20-4,[H+].[Cl-].CN1SC=CC1=O,Microbiocide
106,"2-methyl-4,5-trimethylene-4-isothiazolin-3-one",82633-79-2,CN1SC2=C(CCC2)C1=O,Microbiocide
108,"2-Nitro-2-ethyl-1,3-propanediol",597-09-1,CCC(CO)(CO)[N+]([O-])=O,Microbiocide
109,"2-Nitro-2-methyl-1,3-propanediol",77-49-6,CC(CO)(CO)[N+]([O-])=O,Microbiocide
111,2-tert-Amylphenol,87-26-3,CCCC(C)c1ccccc1O,Microbiocide
112,"2,2-dibromo-3-nitrilopropionamide",10222-01-2,NC(=O)C(Br)(Br)C#N,Microbiocide
113,"2,2-methylene bis(4,6-dichlorophenol), sodium salt",68957-70-0,[Na+].[Na+].[O-]c1c(Cl)cc(Cl)cc1Cc2cc(Cl)cc(Cl)c2[O-],Microbiocide
115,"2,2'-(1-methyltrimethylenedioxy)bis-(4-methyl-1,3,2-dioxaborinane)",2665-13-6,CC1CCOB(OCCC(C)OB2OCCC(C)O2)O1,Microbiocide
118,"2,2'-Dithiobisbenzothiazole",120-78-5,S(Sc1sc2ccccc2n1)c3sc4ccccc4n3,"Fungicide,Insecticide,Microbiocide"
119,"2,2'-Methylenebis(4,6-dichlorophenol)",1940-43-8,Oc1c(Cl)cc(Cl)cc1Cc2cc(Cl)cc(Cl)c2O,Microbiocide
120,"2,2'-oxybis (4,4,6-trimethyl-1,3,2-dioxaborinane)",14697-50-8,CC1CC(C)(C)OB(OB2OC(C)CC(C)(C)O2)O1,Microbiocide
122,"2,3,5-trichloro-4-(propylsulfonyl) pyridine",38827-35-9,CCC[S](=O)(=O)c1c(Cl)cnc(Cl)c1Cl,Microbiocide
124,"2,3,5,6-tetrachloro-4-(methylsulfonyl) pyridine",13108-52-6,C[S](=O)(=O)c1c(Cl)c(Cl)nc(Cl)c1Cl,Microbiocide
126,"2,3,6-TBA, dimethylamine salt",3426-62-8,C[NH2+]C.[O-]C(=O)c1c(Cl)ccc(Cl)c1Cl,Herbicide
128,"2,3,6-Trichlorobenzoic acid, sodium salt",2078-42-4,[Na+].[O-]C(=O)c1c(Cl)ccc(Cl)c1Cl,Herbicide
129,"2,3,6-Trichlorophenylacetic acid",2903-64-2,OC(=O)Cc1cc(Cl)c(Cl)cc1Cl,Herbicide
130,"2,3,6-Trichlorophenylacetic acid, sodium salt",53404-91-4,[Na+].[O-]C(=O)Cc1c(Cl)ccc(Cl)c1Cl,Herbicide
131,"2,3(and 3,4)-Dichlorobenzyl methylcarbamates",62046-37-1,CNC(=O)OCc1cccc(Cl)c1Cl,Insecticide
132,"2,4-D",94-75-7,OC(=O)COc1ccc(Cl)cc1Cl,"Herbicide,Plant Growth Regulator"
135,"2,4-D with 2,4,5-T",8015-35-8,OC(=O)COc1ccc(Cl)cc1Cl.OC(=O)COc2cc(Cl)c(Cl)cc2Cl,Herbicide
136,"2,4-D, 2-butoxyisopropyl ester",3966-11-8,CCCCOCC(C)OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
137,"2,4-D, 2-ethylhexyl ester",1928-43-4,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,Herbicide
138,"2,4-D, alkanolamine salts (ethanol and isopropanol amines)",2307-55-3,OCCNCCO.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
139,"2,4-D, alkyl (C12) amine salts",2212-54-6,CCCCCCCCCCCCN.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
140,"2,4-D, butoxy ethoxy propanol ester",1928-57-0,CCCCOCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,Herbicide
141,"2,4-D, butoxyethanol ester",1929-73-3,CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,Herbicide
142,"2,4-D, butoxypropyl ester",1928-45-6,CCCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,Herbicide
143,"2,4-D, butyl ester",94-80-4,CCCCOC(=O)COc1ccc(Cl)cc1Cl,Herbicide
144,"2,4-D, chlorocrotyl ester",2971-38-2,ClC\C=C\COC(=O)COc1ccc(Cl)cc1Cl,Herbicide
145,"2,4-D, diethanolamine salt",5742-19-8,OCCNCCO.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
146,"2,4-D, diethylamine salt",20940-37-8,CCNCC.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
147,"2,4-D, dimethylamine salt",2008-39-1,CNC.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
148,"2,4-D, heptylamine salt",37102-63-9,CCCCCCCN.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
150,"2,4-D, isopropyl ester",94-11-1,CC(C)OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
151,"2,4-D, isopropylamine salt",5742-17-6,CC(C)[NH3+].[O-]C(=O)COc1ccc(Cl)cc1Cl,Herbicide
152,"2,4-D, lithium salt",3766-27-6,[Li+].[O-]C(=O)COc1ccc(Cl)cc1Cl,Herbicide
153,"2,4-D, morpholine salt",6365-73-7,OC(=O)COc1ccc(Cl)cc1Cl.C2COCCN2,Herbicide
154,"2,4-D, N-oleyl-1,3-propylenediamine salt",2212-59-1,CCCCCCCC\C=C/CCCCCCCCNCCCN.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
156,"2,4-D, octyl ester",1928-44-5,CCCCCCCCOC(=O)COc1ccc(Cl)cc1Cl,Herbicide
157,"2,4-D, propyl ester",1928-61-6,CCCOC(=O)COc1ccc(Cl)cc1Cl,Herbicide
158,"2,4-D, propylene glycol butyl ether ester",1320-18-9,CCCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,Herbicide
159,"2,4-D, sodium salt",2702-72-9,[Na+].[O-]CC(=O)Oc1ccc(Cl)cc1Cl,Herbicide
160,"2,4-D, tetradecylamine salt",28685-18-9,CCCCCCCCCCCCCCN.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
161,"2,4-D, triethanolamine salt",2569-01-9,CC(O)[NH+](C(C)O)C(C)O.[O-]CC(=O)Oc1ccc(Cl)cc1Cl,Herbicide
162,"2,4-D, triethylamine salt",2646-78-8,CCN(CC)CC.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
163,"2,4-D, triisopropanolamine salt",18584-79-7,CC(O)CN(CC(C)O)CC(C)O.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
165,"2,4-DB acid",94-82-6,OC(=O)CCCOc1ccc(Cl)cc1Cl,Herbicide
166,"2,4-DB, dimethylamine salt",2758-42-1,CNC.OC(=O)CCCOc1ccc(Cl)cc1Cl,Herbicide
167,"2,4-DB, isooctyl ester",1320-15-6,CCCCCCC(C)OC(=O)CCCOc1ccc(Cl)cc1Cl,Herbicide
168,"2,4-DES",149-26-8,O[S](=O)(=O)OCCOc1ccc(Cl)cc1Cl,Herbicide
169,Tirpate,26419-73-8,CNC(=O)O/N=C/C1(C)SCC(C)S1,Insecticide
170,"2,4-DP-P, dimethylamine salt",104786-87-0,CNC.C[C@@H](Oc1ccc(Cl)cc1Cl)C(O)=O,"Herbicide,Plant Growth Regulator"
173,"2,4-DP, isooctyl ester",28631-35-8,CCCCCCC(C)OC(=O)C(C)Oc1ccc(Cl)cc1Cl,"Herbicide,Plant Growth Regulator"
174,"2,4-DP, triethanolamine salt",53404-48-1,CC(Oc1ccc(Cl)cc1Cl)C(O)=O.OCCN(CCO)CCO,"Herbicide,Plant Growth Regulator"
175,"2,4-DP,2-ethylhexyl ester",79270-78-3,CCCCC(CC)COC(=O)C(C)Oc1ccc(Cl)cc1Cl,"Herbicide,Plant Growth Regulator"
176,"2,4-xylenol",105-67-9,Cc1ccc(O)c(C)c1,"Fungicide,Microbiocide,Solvent"
177,"2,4,5-T",93-76-5,OC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
178,"2,4,5-T, 2-ethylhexyl ester",1928-47-8,CCCCC(CC)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
180,"2,4,5-T, butoxyethanol ester",2545-59-7,CCCCOCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
181,"2,4,5-T, butyl ester",93-79-8,CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
182,"2,4,5-T, butyric acid",93-80-1,OC(=O)CCCOc1cc(Cl)c(Cl)cc1Cl,Herbicide
183,"2,4,5-T, dimethylamine salt",6369-97-7,C[NH2+]C.[O-]C(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
185,"2,4,5-T, isooctyl ester",25168-15-4,CCCC(CC)CCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
186,"2,4,5-T, N-oleyl-1,3-propylenediamine salt",53404-87-8,CCCCCCCC\C=C/CCCCCCCC[NH2+]CCCN.[O-]C(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
188,"2,4,5-T, triethylamine salt",2008-46-0,CCN(CC)CC.OC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
189,"2,4,5-trichlorophenol",95-95-4,Oc1cc(Cl)c(Cl)cc1Cl,"Algaecide,Microbiocide"
191,"2,4,5-trichlorophenol, potassium salt",35471-43-3,[K+].[O-]c1cc(Cl)c(Cl)cc1Cl,Microbiocide
193,"2,4,5-Trichlorophenol, sodium salt",136-32-3,[Na+].[O-]c1cc(Cl)c(Cl)cc1Cl,"Algaecide,Microbiocide"
194,"2,4,5-trichlorophenoxyacetic acid, 2-ethyl-4-methylpentyl ester",69462-12-0,CCC(COC(=O)COc1cc(Cl)c(Cl)cc1Cl)CC(C)C,Herbicide
195,"2,4,5-trichlorophenoxyacetic acid, alkyl(C13) amine salt",53404-85-6,CCCCCCCCCCCCC[NH3+].[O-]C(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
196,"2,4,5-trichlorophenoxyacetic acid, amyl ester",120-39-8,CCCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
197,"2,4,5-trichlorophenoxyacetic acid, butoxyethoxypropanol ester",1928-58-1,CCCCOCCOCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
198,"2,4,5-trichlorophenoxyacetic acid, diethylethanolamine salt",53404-86-7,CC[NH+](CC)CCO.[O-]C(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
199,"2,4,5-trichlorophenoxyacetic acid, isobutyl ester",4938-72-1,CC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
200,"2,4,5-trichlorophenoxyacetic acid, isopropyl ester",93-78-7,CC(C)OC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
202,"2,4,5-trichlorophenoxyacetic acid, N,N-dimethyllinoleylamine salt",53404-88-9,CCCCC\C=C/C/C=C/CCCCCCCC[NH+](C)C.[O-]C(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
203,"2,4,5-trichlorophenoxyacetic acid, N,N-dimethyloleylamine salt",53404-89-0,CCCCCCCC/C=C/CCCCCCCC[NH+](C)C.[O-]C(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
204,"2,4,5-trichlorophenoxyacetic acid, pentyl ester",55491-33-3,CCCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
205,"2,4,5-trichlorophenoxyacetic acid, sodium salt",13560-99-1,[Na+].[O-]C(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
207,"2,4,6-trichlorophenol",88-06-2,Oc1c(Cl)cc(Cl)cc1Cl,Microbiocide
208,"2,4,6-Trichlorophenol, sodium salt",3784-03-0,[Na+].[O-]c1c(Cl)cc(Cl)cc1Cl,"Algaecide,Microbiocide"
209,"2,5-dichloro-alpha-(chloromethylene)benzyl diethyl phosphate",2701-86-2,CCO[P](=O)(OCC)OC(=C\Cl)/c1cc(Cl)ccc1Cl,Insecticide
210,"2,5-dichloro-alpha-(dichloromethylene)benzyl diethyl phosphate",5723-62-6,CCO[P](=O)(OCC)OC(=C(Cl)Cl)c1cc(Cl)ccc1Cl,Insecticide
211,"2,5-Dichlorobenzoic acid",50-79-3,OC(=O)c1cc(Cl)ccc1Cl,Fungicide
212,"2,5-Dichlorobenzoic acid methyl ester",2905-69-3,COC(=O)c1cc(Cl)ccc1Cl,Fungicide
213,"2,6-bis (1-methyl heptadecyl)-p-cresol",5012-62-4,CCCCCCCCCCCCCCCCC(C)c1cc(C)cc(C(C)CCCCCCCCCCCCCCCC)c1O,Microbiocide
216,3-(trimethoxysilyl) propyl dimethyl octadecyl ammonium chloride,27668-52-6,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC[Si](OC)(OC)OC,Microbiocide
217,"3-Acetyl-2-(2,6-dimethyl-5-heptenyl)oxazolidine",39785-81-4,CC(CCC=C(C)C)CC1OCCN1C(C)=O,Microbiocide
218,"3-Bromo-1-chloro-5,5-dimethylhydantoin",126-06-7,CC1(C)N(Cl)C(=O)N(Br)C1=O,"Fungicide,Herbicide,Microbiocide"
219,"3-chloro-2-biphenylol, sodium salt",10605-11-5,[Na+].[O-]c1c(Cl)cccc1c2ccccc2,Microbiocide
220,3-chloro-p-toluidine hydrochloride,7745-89-3,[H+].[Cl-].Cc1ccc(N)cc1Cl,Avicide
221,3-chlorophenoxy-alpha-propionamide,5825-87-6,CC(Oc1cccc(Cl)c1)C(N)=O,"Herbicide,Plant Growth Regulator"
222,3-CPA,101-10-0,CC(Oc1cccc(Cl)c1)C(O)=O,"Herbicide,Plant Growth Regulator"
223,(3-Ethoxypropyl)mercury bromide,6012-84-6,CCOCCC[Hg]Br,Fungicide
225,3-iodo-2-propynyl butyl carbamate,55406-53-6,CCCCNC(=O)OCC#CI,"Fungicide,Wood Preservative"
226,3-Trifluoromethyl-4-nitrophenol,88-30-2,Oc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,"Breakdown product,Piscicide"
227,"3,3,4-Trimethyloxazolidine mixt. with 4,4-dimethyloxazolidine",81099-36-7,CN1COCC1(C)C.CC2(C)COCN2,Microbiocide
228,"3,3,4,4-tetrachloro tetrahydro thiophene 1,1-dioxide",3737-41-5,ClC1(Cl)C[S](=O)(=O)CC1(Cl)Cl,Microbiocide
230,"3,4-Dichloro-5-isothiazolecarboxylic acid",18480-53-0,OC(=O)c1snc(Cl)c1Cl,Microbiocide
231,"3,4-Dichlorobenzyl methylcarbamate",2328-31-6,CNC(=O)OCc1cccc(Cl)c1Cl,Insecticide
232,"3,4,4-trimethyl oxazolidine",75673-43-7,CN1COCC1(C)C,Microbiocide
234,"3,5-dibromosalicylanilide",2577-72-2,Oc1c(Br)cc(Br)cc1C(=O)Nc2ccccc2,Microbiocide
235,"3,5-Diisopropylphenyl methylcarbamate",330-64-3,CNC(=O)Oc1cc(cc(c1)C(C)C)C(C)C,Insecticide
236,"3(2H)-chloro-2-methyl-3(2H)-isothiazolone, calcium chloride complex",57373-19-0,[Cl-].[Cl-].[Ca++].CN1SC(=CC1=O)Cl,Microbiocide
241,4 or 6-chloro-2-phenylphenol,53537-62-5,Oc1c(Cl)cccc1c2ccccc2,Microbiocide
243,4-(((Dimethylamino)methylene)amino)-m-tolyl methylcarbamate,17702-57-7,[Cl-].CNC(=O)Oc1ccc(N=C[NH+](C)C)c(C)c1,Insecticide
244,4-(2-nitrobutyl) morpholine,2224-44-4,CCC(CN1CCOCC1)[N+]([O-])=O,Microbiocide
245,"4-(2,4-DB), butoxyethanol ester",32357-46-3,CCCCOCCOC(=O)CCCOc1ccc(Cl)cc1Cl,Herbicide
246,"4-(Methylamino)-3,5-xylyl methylcarbamate",10389-50-1,CNC(=O)Oc1cc(C)c(NC)c(C)c1,Insecticide
247,"4-(Methylformamido)-3,5-xylyl methylcarbamate",10233-94-0,CNC(=O)Oc1cc(C)c(N(C)C=O)c(C)c1,Insecticide
248,4-(Methylthio)-m-tolyl methylcarbamate,3566-00-5,CNC(=O)Oc1ccc(SC)c(C)c1,Insecticide
249,"4-Amino-3,5-xylyl methylcarbamate",831-76-5,CNC(=O)Oc1cc(C)c(N)c(C)c1,Insecticide
250,4-aminopyridine,504-24-5,Nc1ccncc1,Avicide
251,"4-chloro-2-cyclopentyl phenol, potassium salt",35471-38-6,[K+].[O-]c1ccc(Cl)cc1C2CCCC2,"Fungicide,Microbiocide"
252,4-chloro-2-cyclopentylphenol,13347-42-7,Oc1ccc(Cl)cc1C2CCCC2,"Fungicide,Microbiocide"
253,4-chloro-2-n-octyl-3(2H)-isothiazolone,64359-80-4,CCCCCCCCN1SC=C(Cl)C1=O,Microbiocide
254,4-chloro-2-phenylphenol,607-12-5,Oc1ccc(Cl)cc1c2ccccc2,Microbiocide
255,"4-chloro-2-phenylphenol, potassium salt",53404-21-0,[K+].[O-]c1ccc(Cl)cc1c2ccccc2,Microbiocide
256,"4-chloro-2-phenylphenol, sodium salt",10605-10-4,[Na+].[O-]c1ccc(Cl)cc1c2ccccc2,Microbiocide
257,"4-chloro-cyclopentylphenol, sodium salt",53404-20-9,[Na+].[O-]c1ccc(Cl)cc1C2CCCC2,"Fungicide,Microbiocide"
258,"4-hydroxy-2,5-dimethyl-3-(2H)furanone",3658-77-3,CC1OC(=C(O)C1=O)C,Insecticide
259,"4,4-(2-ethyl-2-nitrotrimethylene) dimorpholine",1854-23-5,CCC(CN1CCOCC1)(CN2CCOCC2)[N+]([O-])=O,Microbiocide
260,"4,4-dimethyl oxazolidine",51200-87-4,CC1(C)COCN1,"Impurity,Microbiocide"
261,"4,4-dimethyl-2-oxazolidinone",26654-39-7,CC1(C)COC(=O)N1,Microbiocide
262,"4,5-dibromosalicylanilide",87-12-7,Oc1ccc(Br)cc1C(=O)Nc2ccc(Br)cc2,Microbiocide
