,name,pri,casrn,class,mw,use
64,"N,alpha-Dimethyl-d-phenethylamine hydrochloride",28288,51-57-0,Not Listed,0,Not Listed
65,Dopamine,28289,51-61-6,Not Listed,0,Not Listed
66,d-alpha-Methylphenethylamine,28290,51-64-9,Not Listed,0,Not Listed
67,4-Fluoro-DL-phenylalanine,28291,51-65-0,Not Listed,0,Not Listed
68,4-(2-Aminoethyl)phenol,28292,51-67-2,Not Listed,0,Not Listed
69,Nitrogen mustard (Mechlorethamine),28293,51-75-2,Not Listed,0,Drug
70,4-Aminophenol hydrochloride,28294,51-78-5,Not Listed,0,Not Listed
71,Urethane (Ethyl carbamate),28295,51-79-6,Not Listed,0,"Chemical intermediate,Drug,Polymer production,Solvent,Textile manufacturing"
72,"2-[(Aminocarbonyl)oxy]-N,N,N-trimethylethanaminium chloride",28296,51-83-2,Not Listed,0,Not Listed
73,Thiotepa,28297,52-24-4,Not Listed,0,Drug
74,Apholate,28298,52-46-0,Not Listed,0,Not Listed
75,"alpha-[3-[[2-(3,4-Dimethoxyphenyl)ethyl]methylamino]propyl]-3,4-dimethoxy-alpha-(1-methylethyl)benzeneacetonitrile",28299,52-53-9,Not Listed,0,Not Listed
76,"O-[3,5-Dimethyl-4-(methylthio)phenyl]O,O-diethyl ester phosphorothioic acid",28300,52-60-8,Not Listed,0,Not Listed
77,d-Penicillamine,28301,52-67-5,Not Listed,0,Drug
78,Haloperidol,28302,52-86-8,Not Listed,0,Drug
79,L-Cysteine hydrochloride,28303,52-89-1,Not Listed,0,Not Listed
80,Estrone,28304,53-16-7,Estrogen,0,Drug
81,"N,N-Dimethyl-10H-phenothiazine-10-propanamine, Monochloride",28305,53-60-1,Not Listed,0,Not Listed
82,(S)-3'-[[2-Amino-3-(4-methoxyphenyl)-1-oxopropyl]amino]adenosine,28307,53-79-2,Not Listed,0,Not Listed
83,1-(4-Chlorobenzoyl)-5-methoxy-2-methyl-1H-indole-3-acetic acid,28308,53-86-1,Not Listed,0,Not Listed
84,"D,L-Tryptophan",28309,54-12-6,Not Listed,0,Not Listed
85,Sodium salicylate,28310,54-21-7,Not Listed,0,Not Listed
86,"[2R-[2R*(4R*,8R*)]]-3,4-Dihydro-2,7,8-trimethyl-2-(4,8,12-trimethyltridecyl)-2H-1-benzopyran-6-ol",28311,54-28-4,Not Listed,0,Not Listed
87,Metyrapone,28312,54-36-4,Not Listed,0,Not Listed
88,(3S-cis)-3[Ethyldihydro-4-[(1-methyl-1H-imidazo1-5-yl)methyl]-2(3H)-furanone monohydrochloride,28313,54-71-7,Not Listed,0,Not Listed
89,"4-Pyridine carboxylic acid, Hydrazide",28314,54-85-3,Not Listed,0,Not Listed
90,"O-(4-Hydroxy-3,5-diiodophenyl)-3,5-diiodo-L-tyrosine, Monosodium salt",28315,55-03-8,Not Listed,0,Not Listed
91,N-Nitrosodiethylamine,28316,55-18-5,Not Listed,0,"Chemical intermediate,Fuel or fuel additive,Industrial chemical,Lubricant,Polymer production,Solvent,Tobacco smoke component"
92,Benzamide,28317,55-21-0,Not Listed,0,Not Listed
93,4-Pyridinecarboxylic acid,28318,55-22-1,Not Listed,0,Not Listed
94,"Phosphorothoic acid, O-(3,5-Dimethyl-4-(methylthio)phenyl) O,O-Dimethyl ester",28319,55-37-8,Not Listed,0,Not Listed
95,N-2-Chloroethyl-dibenzylamine hydrochloride,28320,55-43-6,Not Listed,0,Not Listed
96,Atropine sulfate,28321,55-48-1,Not Listed,0,Not Listed
97,4-Methylaminophenol sulfate,28322,55-55-0,Not Listed,0,Not Listed
98,"1,2,3-Propanetriol, Trinitrate",28323,55-63-0,Not Listed,0,Not Listed
99,Nitrogen mustard hydrochloride,28324,55-86-7,Not Listed,0,Drug
100,Methylthiouracil,28326,56-04-2,Not Listed,0,Drug
101,"2,6-Diamino-4(1H)pyrimidinone",28327,56-06-4,Not Listed,0,Not Listed
102,2-Aminoethyl ester carbamimidothioic acid dihydrobromide,28328,56-10-0,Not Listed,0,Not Listed
103,"2,2'-Dithiobisethanamine dihydrochloride",28329,56-17-7,Not Listed,0,Not Listed
104,Trimethyltin hydroxide,28330,56-24-6,Not Listed,0,Not Listed
105,"5-(1-Cyclohexen-1-yl)-1,5-dimethyl-2,4,6(1H,3H,5H)-pyrimidinetrione",28331,56-29-1,Not Listed,0,Not Listed
106,"N,N,N-Triethylethanaminium chloride",28332,56-34-8,Not Listed,0,Not Listed
107,Benzyltriethylammonium chloride,28333,56-37-1,Not Listed,0,Not Listed
108,Glycine,28334,56-40-6,Not Listed,0,Not Listed
109,L-Alanine,28335,56-41-7,Not Listed,0,Not Listed
110,L-Serine,28336,56-45-1,Not Listed,0,Not Listed
111,3-Methylcholanthrene,28337,56-49-5,Not Listed,0,Combustion byproduct
112,Diethylstilbestrol,28338,56-53-1,Not Listed,0,Drug
113,Benz[a]anthracene,28339,56-55-3,Not Listed,0,Combustion byproduct
114,"4-Nitroquinoline, 1-Oxide",28340,56-57-5,Not Listed,0,Not Listed
115,Adenosine-5'-(tetrahydrogen triphosphate),28341,56-65-5,Not Listed,0,Not Listed
116,Chloramphenicol,28342,56-75-7,Not Listed,0,Drug
117,L-Aspartic acid,28343,56-84-8,Not Listed,0,Not Listed
118,L-Glutamine,28344,56-85-9,Not Listed,0,Not Listed
119,,28345,Not Listed,Not Listed,Not Listed,Not Listed
120,L-Cystine,28346,56-89-3,Not Listed,0,Not Listed
121,"N,N,N-Trimethylbenzenemethanaminium, Chloride",28347,56-93-9,Not Listed,0,Not Listed
122,N-Aminoimino methyl)N-methylglycine,28348,57-00-1,Not Listed,0,Not Listed
123,22-Oxovincaleukoblatine,28349,57-22-7,Not Listed,0,Not Listed
124,"5-Ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione, Monosodium salt",28350,57-30-7,Not Listed,0,Not Listed
125,Sodium pentobarbital,28351,57-33-0,Not Listed,0,Drug
126,Apo,28352,57-39-6,Not Listed,0,Not Listed
127,Phenytoin,28353,57-41-0,Not Listed,0,Drug
128,Amobarbital,28354,57-43-2,Not Listed,0,Not Listed
129,"5,5-Diethyl-2,4,6(1H,3H,5H)-pyrimidinetrione",28355,57-44-3,Not Listed,0,Not Listed
130,,28356,Not Listed,Not Listed,Not Listed,Not Listed
131,D-Fructose,28357,57-48-7,Not Listed,0,Not Listed
132,Triethyltin sulfate,28358,57-52-3,Not Listed,0,Not Listed
133,Semicarbazide,28359,57-56-7,Not Listed,0,Not Listed
134,"2-Hydroxybenzoic acid compd. with (3aS-cis)-1,2,3,3a,8,8a-Hexahydro-1,3a,8-trimethylpyrrolo[2,3-b]indol-5-yl methylcambamate (1:",28361,57-64-7,Not Listed,0,Not Listed
135,4-Amino-4-(aminoiminomethyl)benzenesulfonamide,28362,57-67-0,Not Listed,0,Not Listed
136,Progesterone,28363,57-83-0,Not Listed,0,Drug
137,3 beta-Cholest-5-en-3-ol,28364,57-88-5,Not Listed,0,Not Listed
138,"(17alpha)1,3,5(10)-Triene-3,17-estradiol",28365,57-91-0,Not Listed,0,Not Listed
139,"7',12'-Dihydroxy-6,6'-dimethoxy-2,2',2'-trimethyl tubocuraranium",28366,57-95-4,Not Listed,0,Not Listed
140,"7,12-Dimethylbenz[a]anthracene",28367,57-97-6,Not Listed,0,Combustion byproduct
141,Methyltestosterone,28368,58-18-4,Not Listed,0,Drug
142,Testosterone and its esters,28369,58-22-0,Not Listed,0,Drug
143,"[2,3-Dichloro-4-(2-methylene-1-oxobutyl)phenoxy]acetic acid",28370,58-54-8,Not Listed,0,Not Listed
144,"5-Hydroxy-6-methyl-3,4-pyridinedimethanol, Hydrochloride",28372,58-56-0,Not Listed,0,Not Listed
145,"(S)-3'-[[2-Amino-3-(4-methoxyphenyl)-1-oxopropyl]amino]-3'-deoxy-N,N-dimethyladenosine dihydrochloride",28373,58-58-2,Not Listed,0,Not Listed
146,Adenosine,28374,58-61-7,Not Listed,0,Not Listed
147,Adenosine 5'-(trihydrogen diphosphate),28375,58-64-0,Not Listed,0,Not Listed
148,"2,3,4,6-Tetrachlorophenol",28376,58-90-2,Not Listed,0,Not Listed
149,Uridine,28377,58-96-8,Not Listed,0,Not Listed
150,"[2R- [2R*(4R*,8R*)]]-3,4-Dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-2H-1-benzopyran-6-ol",28378,59-02-9,Not Listed,0,Not Listed
151,Ethopabate,28380,59-06-3,Not Listed,0,Not Listed
152,5-Bromodeoxyuridine,28381,59-14-3,Not Listed,0,Not Listed
153,D-Galactose,28382,59-23-4,Not Listed,0,Not Listed
154,2(1H)-Quinolinone,28383,59-31-4,Not Listed,0,Not Listed
155,Vitamin B1,28384,59-43-8,Unclassified,0,Nutrient
156,"1,3-Dihydro-2H-indol-2-one",28385,59-48-3,Not Listed,0,Not Listed
157,2(3H)-Benzoxazolone,28386,59-49-4,Not Listed,0,Not Listed
158,Acetazolamide,28387,59-66-5,Not Listed,0,Drug
159,(4-Carboxyphenyl)chloromercury,28388,59-85-8,Not Listed,0,Not Listed
160,"Phenylhydrazine, monohydrochloride",28389,59-88-1,Not Listed,0,"Chemical intermediate,Drug,Dye,Industrial chemical,Photographic processing"
161,N-Nitrosomorpholine,28390,59-89-2,Not Listed,0,"Chemical intermediate,Contaminant or impurity,Industrial chemical,Polymer production,Solvent"
162,Levodopa,28391,59-92-7,Not Listed,0,Drug
163,Tolazoline hydrochloride,28392,59-97-2,Not Listed,0,Not Listed
164,"3-[[(Dimethylamino)carbonyl]oxy]-N,N,N-trimethylbenzenaminium",28393,59-99-4,Not Listed,0,Not Listed
165,p-Aminoazobenzene,28394,60-09-3,Aromatic amine,0,"Chemical intermediate,Dye,Paints, coatings, resins,Solvent"
166,4-(Dimethylamino)phenylazobenzene,28395,"60-11-7, 6257-64-3",Aromatic amine,0,Dye
167,(+-)-alpha-Methylbenzeneethanamine sulfate (2:1),28396,60-13-9,Not Listed,0,Not Listed
168,2-Aminoethanethiol,28398,60-23-1,Not Listed,0,Not Listed
169,2-Mercaptoethanol,28399,60-24-2,Not Listed,0,Not Listed
170,"1,1'-Oxybisethane",28400,60-29-7,Not Listed,0,Not Listed
171,"2-(Acetoyloxy)-N,N,N-trimethylethanaminium chloride",28401,60-31-1,Not Listed,0,Not Listed
172,6-Aminohexanoic acid,28402,60-32-2,Not Listed,0,Not Listed
173,Monomethylhydrazine,28403,60-34-4,Not Listed,0,Not Listed
174,"1,2-Dihydro-1,5-dimethyl-2-phenyl-3H-pyrazol-3-one",28405,60-80-0,Not Listed,0,Not Listed
175,Phloridzin,28406,60-81-1,Not Listed,0,Not Listed
176,"Cyclic 3',5'-(hydrogen phosphate)adenosine",28407,60-92-4,Not Listed,0,Not Listed
177,5'-Adenylic acid,28408,61-19-8,Not Listed,0,Not Listed
178,"1-[(3,4-Dimethoxyphenyl)methyl]-6,7-dimethoxyisoquinoline hydrochloride",28409,61-25-6,Not Listed,0,Not Listed
179,"1-Ethyl-1,3-dinitro-2H-indol-2-one",28410,61-28-9,Not Listed,0,Not Listed
180,,28411,Not Listed,Not Listed,Not Listed,Not Listed
181,Niridazole,28412,61-57-4,Not Listed,0,Drug
182,L-Leucine,28413,61-90-5,Not Listed,0,Not Listed
183,p-Nitrobenzoic acid,28414,62-23-7,Not Listed,0,Not Listed
184,"(OC-6-21)-Disodium[[N,N'-1,2-ethanediylbis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']calciate(2-)",28415,62-33-9,Not Listed,0,Not Listed
185,"2-Hydroxy-N,N,N-trimethylethanaminium",28417,62-49-7,Not Listed,0,Not Listed
186,"Methanesulfonic acid, Ethyl ester",28418,62-50-0,Not Listed,0,Not Listed
187,Thioacetamide,28419,62-55-5,Not Listed,0,Fuel or fuel additive
188,alpha-Phenyl-alpha-propyl-2-(diethylamino)benzeneacetic acid ethyl ester hydrochloride,28421,62-68-0,Not Listed,0,Not Listed
189,N-Methyl-N-nitrosomethanamine,28422,62-75-9,Not Listed,0,"Battery component,Combustion byproduct,Fuel or fuel additive,Lubricant,Polymer production,Tobacco smoke component"
190,Uridine 5'-(tetrahydrogen triphosphate),28424,63-39-8,Not Listed,0,Not Listed
191,L-Methionine,28425,63-68-3,Not Listed,0,Not Listed
192,L-Phenylalanine,28426,63-91-2,Not Listed,0,Not Listed
193,N-3-Tolylurea,28427,63-99-0,Not Listed,0,Not Listed
194,Phenethylamine,28428,64-04-0,Not Listed,0,Not Listed
195,"(3as-cis)-1,2,3,3a,8,8a-Hexahydro-1,3a,8-trimethylpyrrolo[2,3-b]indol-5-ol, Methylcarbanate(ester), Sulfate(2:1)",28429,64-47-1,Not Listed,0,Not Listed
196,Diethyl sulfate,28430,64-67-5,Not Listed,0,"Chemical intermediate,Dye,Industrial chemical"
197,Iodoacetic acid,28431,64-69-7,Not Listed,0,Not Listed
198,"[4S-(4 alpha, 4a alpha, 5a alpha, 6 beta, 12a alpha)]-7-Chloro-4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pe",28432,64-72-2,Not Listed,0,Not Listed
199,"21-Hydroxypregn-4-ene-3,20-dione",28433,64-85-7,Not Listed,0,Not Listed
200,Colchicine,28434,64-86-8,Not Listed,0,Drug
201,"Yohimban-16-alpha-carboxylic acid, 17-alpha-Hydroxy-methyl ester, Hydrochloride",28435,65-19-0,Not Listed,0,Not Listed
202,"(S)-3-(1-Methyl-2-pyrrolidinyl)pyridine, [R-(R*,R*)]-2,3-Dihydroxybutanedioate (1:2)",28436,65-31-6,Not Listed,0,Not Listed
203,2-Hydroxybenzamide,28437,65-45-2,Not Listed,0,Not Listed
204,4-Aminosalicylic acid,28438,65-49-6,Not Listed,0,Not Listed
205,"N,N,N',N'-Tetramethyl-3,6-acridinediamine, Monohydrochloride",28439,65-61-2,Not Listed,0,Not Listed
206,Thymine,28440,65-71-4,Not Listed,0,Not Listed
207,Orotic acid,28441,65-86-1,Not Listed,0,Not Listed
208,Uracil,28442,66-22-8,Not Listed,0,Not Listed
209,"Methanesulfonic acid, Methyl ester",28443,66-27-3,Not Listed,0,Industrial chemical
210,"1,10-Phenanthroline",28444,66-71-7,Not Listed,0,Not Listed
211,3-Hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridine carboxaldehyde,28445,66-72-8,Not Listed,0,Not Listed
212,Dicumarol,28446,66-76-2,Not Listed,0,Drug
213,1-Naphthalene carboxaldehyde,28447,66-77-3,Not Listed,0,Not Listed
214,2-Naphthalenecarboxaldehyde,28448,66-99-9,Not Listed,0,Not Listed
215,Nitrofurantoin,28449,67-20-9,Not Listed,0,Drug
216,S-Ethyl-DL-homocysteine,28450,67-21-0,Not Listed,0,Not Listed
217,4-Phenoxybenzaldehyde,28451,67-36-7,Not Listed,0,Not Listed
218,Ethyleneglycolbis-aminoethyl ether tetraacetic acid,28452,67-42-5,Not Listed,0,Not Listed
219,"N,N-Bis[2-[biscarboxymethyl)amino]ethyl]-glycine",28453,67-43-6,Not Listed,0,Not Listed
220,5-(Hydroxymethyl)-2-furancarboxaldehyde,28454,67-47-0,Not Listed,0,Not Listed
221,"3,5-Dimethyl-1H-pyrazole",28455,67-51-6,Not Listed,0,Not Listed
222,Barbituric acid,28456,67-52-7,Not Listed,0,Not Listed
223,"Bicyclohexyl-1-carboxylic acid,2-diethylaminoethyl ester, HCl",28457,67-92-5,Not Listed,0,Not Listed
224,"2-Hydroxy-1,2,3-propanetricarboxylic acid,Trisodium salt",28458,68-04-2,Not Listed,0,Not Listed
225,Mercaptoacetic acid,28459,68-11-1,Not Listed,0,Not Listed
226,Vitamin B12,28460,68-19-9,Not Listed,0,Not Listed
227,4-Methyl-N-phenylbenzenesulfonamide,28461,68-34-8,Not Listed,0,Not Listed
228,4-Amino-N-2-pyrimidinylbenzenesulfonamide,28462,68-35-9,Not Listed,0,Not Listed
229,"1,4-bis(Trichloromethyl)benzene",28463,68-36-0,Not Listed,0,Not Listed
230,"1,7-Dihydro-6H-purin-6-one",28464,68-94-0,Not Listed,0,Not Listed
231,"6-Chloro-9-((4-(diethylamino)-1-methylbutyl)amino)-2-methoxyacridine, Dihydrochloride",28465,69-05-6,Not Listed,0,Not Listed
232,Ampicillin,28466,69-53-4,Not Listed,0,Not Listed
233,"[2S-(2alpha,5alpha,6beta)]-3,3-Dimethyl-7-oxo-6-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid monosodium salt",28467,69-57-8,Not Listed,0,Not Listed
234,D-Mannitol,28468,69-65-8,Not Listed,0,Not Listed
235,"7,9-Dihydro-1H-purine-2,6,8(3H)-trione",28469,69-93-2,Not Listed,0,Not Listed
236,2-Bromo-1-phenylethanone,28470,70-11-1,Not Listed,0,Not Listed
237,L-gamma-Glutamyl-L-cysteinylglycine,28471,70-18-8,"Botanical, Animal derived",0,Not Listed
238,L-Ornithine,28472,70-26-8,Not Listed,0,Not Listed
239,"1-Fluoro-2,4-dinitrobenzene",28473,70-34-8,Not Listed,0,Not Listed
240,L-Asparagine,28474,70-47-3,Not Listed,0,Not Listed
241,Mercaptobutanedioic acid,28475,70-49-5,Not Listed,0,Not Listed
242,"N'-[5-[[4-[[5-(Acetylhydroxyamino)pentyl]amino]-1,4-dioxobutyl]hydroxyamino]pentyl]-N-(5-aminopentyl)-N-hydroxybutanediamide",28476,70-51-9,Not Listed,0,Not Listed
243,DL-Lysine,28477,70-54-2,Not Listed,0,Not Listed
244,4-Methylbenzenesulfonamide,28478,70-55-3,Not Listed,0,Not Listed
245,1-(4-Aminophenyl)-1-propanone,28479,70-69-9,Not Listed,0,Not Listed
246,4'-Hydroxypropiophenone,28480,70-70-2,Not Listed,0,Not Listed
247,3-Iodotyrosine,28481,70-78-0,Not Listed,0,Not Listed
248,L-Histidine,28482,71-00-1,Not Listed,0,Not Listed
249,1-Pentanol,28483,71-41-0,Not Listed,0,Not Listed
250,"N,N'-Bis(3-aminopropyl)-1,4-butanediamine",28484,71-44-3,Not Listed,0,Not Listed
251,Cobalt acetate,28485,71-48-7,Not Listed,0,Not Listed
252,"Acetic acid, Ion (1-)",28486,71-50-1,Not Listed,0,Not Listed
253,"5-Ethyldihydro-5-(1-methylbutyl)-2-thioxo-4,6(1H,5H)-pyrimidinedione, Monosodium salt",28487,71-73-8,Not Listed,0,Not Listed
254,DL-2-Methylglutamic acid,28488,71-90-9,Not Listed,0,Not Listed
255,"DDVP, Propyl homolog",28489,71-98-7,Not Listed,0,Not Listed
256,"Phosphoric acid, 2,2-Dichlororethenyl diethyl ester",28490,72-00-4,Not Listed,0,Not Listed
257,"2-Hydroxy propanoic acid, Monosodium salt",28491,72-17-3,Not Listed,0,Not Listed
258,L-Valine,28492,72-18-4,Not Listed,0,Not Listed
259,L-Threonine,28493,72-19-5,Not Listed,0,Not Listed
260,Trypan blue,28494,72-57-1,Not Listed,0,"Drug,Dye,Food additive,Textile manufacturing"
261,Cordycepin 3'-deoxyadenosine,28495,73-03-0,Not Listed,0,Not Listed
262,L-Tryptophan,28496,73-22-3,Not Listed,0,Not Listed
263,Adenine,28497,73-24-5,Not Listed,0,Not Listed
264,L-Isoleucine,28498,73-32-5,Not Listed,0,Not Listed
265,"2-Amino-1,7-dihydro-6H-purine-6-one",28499,73-40-5,Not Listed,0,Not Listed
266,"N,N'-Diphenyl-1,4-benzenediamine",28500,74-31-7,Aromatic amine,0,Not Listed
267,"4-[-(4-Nitrophenyl)azo]-1,3-benzenediol",28501,74-39-5,Not Listed,0,Not Listed
268,"O,O-Bis(1-methylethyl) O-(4-nitrophenyl) ester",28502,74-59-9,Not Listed,0,Not Listed
269,L-Arginine,28503,74-79-3,Not Listed,0,Not Listed
270,Ethane,28504,74-84-0,Petroleum derivative-Saturated,0,Not Listed
271,Methyl mercaptan,28506,74-93-1,Mercaptan,48.1,Not Listed
272,Dibromomethane,28507,74-95-3,Not Listed,0,Not Listed
273,Bromochloromethane,28508,74-97-5,Not Listed,0,Not Listed
274,Iodoethane,28509,75-03-6,Not Listed,0,Not Listed
275,Thiobismethane,28510,75-18-3,Not Listed,0,Not Listed
276,Cyclopropane,28511,75-19-4,Not Listed,0,Not Listed
277,Bromoform,28512,75-25-2,Not Listed,0,"Flame retardant,Solvent,Water treatment byproduc"
278,"1,1-Dichloroethane",28513,75-34-3,Not Listed,98.96,"Chemical intermediate,Polymer production,Solvent"
279,Acetyl chloride,28514,75-36-5,Not Listed,0,Not Listed
280,1-Aminoethanol,28515,75-39-8,Not Listed,0,Not Listed
281,Iodoform,28516,75-47-8,Not Listed,0,Not Listed
282,"N,N,N-Trimethylmethanaminium, Chloride",28517,75-57-0,Not Listed,0,Not Listed
283,tert-Butylamine,28518,75-64-9,Not Listed,0,Not Listed
284,"2,2-Dimethyl-1-propanol",28520,75-84-3,Not Listed,0,Not Listed
285,2-Methyl-2-butanol,28521,75-85-4,Not Listed,0,Not Listed
286,Acetone cyanohydrin,28522,75-86-5,Not Listed,0,Not Listed
287,Chloral,28523,75-87-6,Not Listed,147.4,Not Listed
288,"2,2,2-Trifluoroethanol",28524,75-89-8,Not Listed,0,Not Listed
289,"3,3-Dimethyl-2-butanone",28525,75-97-8,Not Listed,0,Not Listed
290,"2,2-Dimethylpropionic acid",28526,75-98-9,Not Listed,0,Not Listed
291,Trifluoroacetic acid,28527,76-05-1,Not Listed,114.02,Not Listed
292,"2-Methyl-1,1,1-tribromo-2-propanol",28528,76-08-4,Not Listed,0,Not Listed
293,"2,3-Dimethyl-2,3-butanediol",28529,76-09-5,Not Listed,0,Not Listed
294,Alloxantin,28530,76-24-4,Not Listed,0,Not Listed
295,"3-Bromo-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",28531,76-29-9,Not Listed,0,Not Listed
296,"2,2-Dichloro-1,1-difluoro-1-methoxyethane",28532,76-38-0,"Halogenated organic, Fluorinated organic",0,"Propellant,Solvent"
297,"4,4'-(3H-2,1-Benzoxathiol-3-ylidene)bis(2-bromo-3-methyl-6-(1-methylethyl)phenol, S,S-Dioxide",28533,76-59-5,Not Listed,0,Not Listed
298,"4,4'-(3H-2,1-Benzoxathiol-3-ylidene)bis(2,6-dibromo-3-methyl)phenol, S,S-dioxide",28534,76-60-8,Not Listed,0,Not Listed
299,"Ethylphenylpropanedioic acid, Diethyl ester",28535,76-67-5,Not Listed,0,Not Listed
300,"Ethyl (1-methylbutyl)propanedioic acid, Diethyl ester",28536,76-72-2,Not Listed,0,Not Listed
