Active Substance ID,Substance,CAS Number,Status under Reg. (EC) No 1107/2009,Date of approval,Expiration of approval,Legislation,Remark,RMS,Co-RMS,Assess Risk,Reg 396/2005,Candidate for substitution,Basic substance,Low-risk a.s.,ADI (mg/kg bw/d),Source/Year,Remark,ARfD (mg/kg bw),Source/Year,Remark,AOEL (mg/kg bw/d),Source/Year,Remark,AAOEL (mg/kg bw/d),Source/Year,Remark,Other (mg/kg bw/d),Source/Year,Remark,Classification (Reg. 1272/2008),Authorised,Functions
354,"(Z,Z)-7,11-Hexadecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,IT,FR,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,EL,AT
378,"(Z,Z)-Octadien-1-yl acetate",No CAS allocated,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,,,,,,,,
379,"(Z,Z,Z,Z)-7,13,16,19-Docosatetraen-1-yl isobutyrate",135459-81-3,Not approved,,,"2008/127, Reg. (EU) 2015/308, Reg. (EU) 2016/636, Reg. (EU) No 540/2011",<p>Max. period of grace: 13 November 2017</p>,IT,FR,,,,,,Not Applicable,EFSA 2014,Not set due to insufficient data,Not Applicable,EFSA 2014,Not set due to insufficient data,Not Applicable,EFSA 2014,Not set due to insufficient data,,,,,,,,,
382,"1,1-dichloro-2,2-bis-(4-ethyl-phenyl-) ethane",No CAS allocated,Not approved,,,,<p>Never notified and authorised in the EU</p>,,,,Reg. (EC) No 149/2008,,,,,,,,,,,,,,,,,,,,,
825,"1,2-Dibromoethane",106-93-4,Not approved,,,,<p>Banned</p>,,,,Reg. (EC) No 149/2008,,,,,,,,,,,,,,,,,,,"Acute Tox. 3 - H301, Acute Tox. 3 - H311, Acute Tox. 3 - H331, Aquatic Chronic 2 - H411, Carc. 1B - H350, Eye Irrit. 2 - H319, STOT SE 3 - H335, Skin Irrit. 2 - H315",,
1344,"1,2-Dichloroethane",107-06-2,Not approved,,,,<p>Banned</p>,,,,Reg. (EC) No 149/2008,,,,,,,,,,,,,,,,,,,,,
383,"1,2-Dichloropropane",78-87-5,Not approved,,,2002/2076,,,,,,,,,Not Applicable, ,,Not Applicable, ,,Not Applicable, ,,,,,,,,"Acute Tox. 4 - H302, Acute Tox. 4 - H332, Carc. 1B - H350, Flam. Liq. 2 - H225",,
381,"1,3,5-tri-(2-hydroxyethyl)-hexa-hydro-s-triazyne",No CAS allocated,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,,,,,,"Acute Tox. 4 - H302, Skin Sens. 1 - H317",,
1432,"1,3,7-trimethylxanthine (caffeine)",58-08-2,Not approved,,,Reg. (EU) 2024/2766,,,,,,,Yes,,,,,,,,,,,,,,,,,,,OT
384,"1,3-Dichloropropene",542-75-6,Not approved,,,"2007/619/EC, 2011/36/EU, Reg. (EU) 2022/740",<p>Admissible application according to Article 9 of Regulation (EC) No 1107/2009. Date of admissibility: 07/07/2015</p>,ES,,,"Reg. (EC) No 149/2008, Reg. (EU) 2015/552",,,,0.0125 mg/kg bw/day,EFSA 06,,0.2 mg/kg bw,EFSA 06,,0.1 mg/kg bw/day,EFSA 06,,,,,,,,"Acute Tox. 3 - H301, Acute Tox. 3 - H311, Acute Tox. 4 - H332, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Asp. Tox. 1 - H304, Eye Irrit. 2 - H319, Flam. Liq. 3 - H226, STOT SE 3 - H335, Skin Irrit. 2 - H315, Skin Sens. 1 - H317",,
385,"1,3-Dichloropropene (cis)",See note,Not approved,,,2002/2076,"<p>(E) 1,3-Dichloropropene : 10061-02-6</p><p>(Z) 1,3-Dichloropropene : 10061-01-5</p>",,,,"Reg. (EC) No 149/2008, Reg. (EU) 2015/552",,,,,,,,,,,,,,,,,,,"Acute Tox. 3 - H301, Acute Tox. 3 - H311, Acute Tox. 4 - H332, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Asp. Tox. 1 - H304, Eye Irrit. 2 - H319, Flam. Liq. 3 - H226, STOT SE 3 - H335, Skin Irrit. 2 - H315, Skin Sens. 1 - H317",,"HB,NE"
386,"1,3-Diphenyl urea",102-07-8,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,,,,,,,,,PG
1203,"1,4-Dimethylnaphthalene",571-58-4,Approved,1/7/2014,30/06/2025,"2010/244/EU, Reg. (EU) 2018/155, Reg. (EU) 2020/2007, Reg. (EU) No 192/2014, Reg. (EU) No 540/2011",<p>The original RMS was NL</p>,AT,PL,EFSA,Regulation (EU) 2015/399,,,,0.1 mg/kg bw/day,EFSA 2013,,,EFSA 2013,,0.32 mg/kg bw/day,EFSA 2013,,,,,,,,,"AT, BE, BG, CY, CZ, DE, DK, ES, FI, FR, HR, IE, LT, LV, NO, PL, PT, RO, SE",PG
387,"1,7-Dioxaspiro-[5.5]-undecane",180-84-7,Not approved,,,,<p>Never notified and authorised in the EU</p>,,,,,,,,,,,,,,,,,,,,,,,,,AT
826,1-Decanol,112-30-1,Approved,1/6/2011,15/07/2026,"2011/33/EU, Re. (EU) No 2018/1266, Reg. (EU) 2020/2007, Reg. (EU) 2024/1206, Reg. (EU) No 540/2011","<p><a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008D0941:EN:NOT"" rel=""noopener noreferrer"" target=""_blank"">Initially non included by Decision 2008/941. Included as from 1 June 2011 following re-submission for inclusion according to Reg. 33/2008</a></p>",PL,,EFSA,"Reg. (EC) No 839/2008, Reg. (EU) 2019/1791",,,,,,,,,,,,,,,,,,,,"BE, DE, EL, ES, FR, HR, HU, IT, PL, RO",PG
388,1-Methoxy-4-propenylbenzene (Anethole),104-46-1,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,,,,,,,,
389,1-Methyl-4-isopropylidenecyclohex-1-ene (Terpinolene),586-62-9,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,,,,,,,,
391,1-Naphthylacetamide (1-NAD),86-86-2 ,Approved,1/1/2012,31/05/2026,"2008/941/EC, Reg. (EU) 2023/2592, Reg. (EU) No 2019/291, Reg. (EU) No 540/2011, Reg. (EU) No 786/2011",,HU,FR,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) 2016/1015",,,,0.1 mg/kg bw/day,EFSA 11,,0.1 mg/kg bw,EFSA 11,,0.07 mg/kg bw/day,EFSA 11,,,,,,,,,"AT, BE, ES, FR, HR, IT, MT, PL, PT, SI",AT
380,1-Naphthylacetic acid (1-NAA),86-87-3,Approved,1/1/2012,31/05/2026,"2008/941/EC, Reg. (EU) 2023/2592, Reg. (EU) No 2019/291, Reg. (EU) No 540/2011, Reg. (EU) No 787/2011",,HU,FR,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) 2016/1015",,,,0.1 mg/kg bw/day,EFSA 11,,0.1 mg/kg bw,EFSA 11,,0.07 mg/kg bw/day,EFSA 11,,,,,,,,,"AT, BE, BG, CY, CZ, DE, EE, EL, ES, FR, HR, IE, IT, LT, LV, MT, NL, PL, PT, RO, SI, SK",AT
390,1-methylcyclopropene,4/7/3100,Approved,1/8/2019,31/07/2034,"06/19/EC, Reg. (EU) 2017/1511, Reg. (EU) 2018/1262, Reg. (EU) 2019/1085, Reg. (EU) No 533/2013, Reg. (EU) No 540/2011",<p>The original RMS was UK.</p><p>RMS responsible for the last approval: NL</p><p>Co-RMS responsible for the last approval: PT</p>,DE,EL,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) 2016/71, Reg. (EU) 2020/1565",,,,0.02 mg/kg bw/day,Reg. (EU) 2019/1085,,0.12 mg/kg bw,Reg. (EU) 2019/1085,,0.04 mg/kg bw/day,Reg. (EU) 2019/1085,,,,,,,,,"AT, BE, BG, CZ, DE, DK, EE, EL, ES, FR, HR, HU, IE, IT, LT, LU, NO, PL, PT, RO, SE, SI, SK",PG
827,"2,3,6-TBA",50-31-7,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,,,,,,,"Acute Tox. 4 - H302, Aquatic Chronic 2 - H411",,
393,"2,4,5-T",93-76-5,Not approved,,,2002/2076,,,,,"Reg. (EC) No 149/2008, Reg. (EU) 2015/868",,,,0.03 mg/kg bw/day,JMPR 1981,,,,,,,,,,,,,,"Acute Tox. 4 - H302, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Eye Irrit. 2 - H319, STOT SE 3 - H335, Skin Irrit. 2 - H315",,HB
