,name,pri,casrn,class,mw,use
83,3-chloro-7-hydroxy-4-methyl-2H-chromen-2-one/ol,14676,Not Listed,Unclassified,0,Breakdown product
84,"cis-3-(2,2-Dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid",14677,Not Listed,Unclassified,0,Breakdown product
85,2-(diethylamino)-6-methylpyrimidin-4-ol/one,14679,Not Listed,Unclassified,0,Breakdown product
86,"(+-)trans-3-(2,2-dichlorovinyl)-2,2-dimethyl-cyclopropanecarboxylic acid-pentafluorobenzyl  ester",14681,Not Listed,Not Listed,0,Not Listed
87,"Benzeneacetamide, 2-6-(2-chlorophenoxy)-5-fluoro-4-pyrimidinyl",14682,207515-50-2,Unclassified,0,Breakdown product
88,(RS)-5-(1-hydroxyethyl)-2-(4-isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl) nicotinic acid  (metabolite of Imazethapyr  ammonium),14683,134887-87-9,Unclassified,0,Breakdown product
89,"alpha-Hydro-omega-hydroxypoly(oxy-1,4-butanediyl)",14684,25190-06-1,Polyalkyloxy Compound,0,Adjuvant
90,"p-Toluic acid, 3,5-dichloro-",14685,39652-34-1,Benzoic acid,336,Not Listed
91,"s-Triazine, 2-amino-4-methoxy-6-methyl-  (metabolite of tribenuron methyl)",14686,1668-54-8,Triazine,0,Breakdown product
92,2-6-(2-Chlorohydroxyphenoxy)-5-fluoro-4-pyrimidinyl,14687,Not Listed,Unclassified,0,Breakdown product
93,"Aminopyralid, potassium salt",14688,566191-87-5,Pyridinecarboxylic acid,245.12,Herbicide
94,Aspergillus flavus NRRL 21882,14689,Not Listed,Microbial,0,Not Listed
95,"1-Phenyl-3-(1,2,5-thiadiazol-3-yl)urea",14690,Not Listed,Urea,0,Breakdown product
96,1-Cyano-3-phenylurea,14691,Not Listed,Urea,0,Breakdown product
97,"1,2,3-thiadiazol-5-yl urea",14692,Not Listed,Urea,0,Breakdown product
98,Bacillus thuringiensis  kurstaki strain BK,14693,Not Listed,Microbial,0,Insecticide
99,"Bacillus thuringiensis subspecies Israelensis strain BK solids, spores, and insecticidal toxins, ATCC number 35646,",14694,Not Listed,Microbial,0,Insecticide
100,Bacillus thuringiensis Cry1Ab protein and the genetic material necessary for its production (via elements of  p2062) in Event  3,14695,Not Listed,GE Crop,0,Insecticide
101,Bacillus thuringiensis Cry3Bb1 protein &amp; the genetic material necessary for its production in corn,14696,Not Listed,GE Crop,0,Insecticide
102,"Benzeneacetic acid, 2,6-(2-chlorophenoxy)-5-fluoro-4-pyrimidinyl",14697,340168-32-3,Unclassified,0,Breakdown product
103,"Benzoic  acid, 3,5-diethyl-4-(hexahydro-7,9-dioxo-7H-pyrazolo-1,2-d",14698,Not Listed,Unclassified,0,Breakdown product
104,"Benzoic acid, 2-(carboxymethoxy)-4-chloro-",14699,401622-26-2,Unclassified,0,Breakdown product
105,"Benzoic acid, 3-(4,5-dihydro-3-isoxazolyl)-2-methyl-4-(methylsulfonyl)- (Metabolite of BAS 670 H)",14700,223646-24-0,Unclassified,0,Breakdown product
106,Buprenorphine  (positive control test substance),14701,52845-79-7,Unclassified,0,Not Listed
107,Butanediol,14702,25265-75-2,Glycol,0,"Adjuvant,Solvent"
108,"Bacillus thuringiensis Tenebrionis strain CB solids, spores, and insecticideal toxins,ATCC number 55177",14703,Not Listed,Microbial,0,Insecticide
109,BAY  JAU  6476  disulfide  (metabolite of prothioconazole),14704,Not Listed,Unclassified,0,Breakdown product
110,Capsaicin II,14705,2444-46-4,Botanical,0,Insecticide
111,Coyote urine,14706,Not Listed,Animal derived,0,Deer Repellent
112,CGA 293730,14707,Not Listed,Unclassified,0,Not Listed
113,CGA 356925,14708,Not Listed,Unclassified,0,Not Listed
114,CGA 368220,14709,Not Listed,Unclassified,0,Not Listed
115,CGA 380950,14710,Not Listed,Unclassified,0,Not Listed
116,CGA 380963,14711,Not Listed,Unclassified,0,Not Listed
117,CGA 98166,14712,Not Listed,Unclassified,0,Not Listed
118,CGA-193468,14713,89402-40-4,Unclassified,0,Breakdown product
119,CGA-302371,14714,Not Listed,Unclassified,0,Breakdown product
120,Erythorbic acid,14715,89-65-6,Unclassified,0,Not Listed
121,Dehydrodemethylethoxyquin   (Metabolite of ethoxyquin),14716,612-50-0,Unclassified,0,Breakdown product
122,Dihydroethoxyquin    (metabolite of ethoxyquin),14717,16489-90-0,Unclassified,0,Breakdown product
123,Dimethyl  monosodium phosphate,14718,32586-82-6,Unclassified,0,Breakdown product
124,Dimethylsulftoluidide (metabolite of tolylfluanid),14719,66840-71-9,Unclassified,0,Breakdown product
125,Dimethyltetradecyl [3-(trimethoxysilyl)propyl]ammonium chloride,14720,41591-87-1,Quaternary Ammonium Compound,0,Microbiocide
126,DL-2-Hydroxybutyric acid,14721,600-15-7,Unclassified,0,Not Listed
127,Chlorantraniliprole,14722,500008-45-7,Anthranilic diamide,483.15,Insecticide
128,Fox urine,14723,Not Listed,Animal derived,0,Deer Repellent
129,Sodium palmitate,14724,408-35-5,Fatty acid ester,0,Adjuvant
130,"1-Chloro-5,5-dimethylhydantoin",14725,6921-17-1,Hydantoin,162.57,Fungicide
131,HEC 5725-deschlorophenyl (metabolite of fluoxastrobin),14726,Not Listed,Unclassified,0,Breakdown product
132,HEC 5725-oxazepine  (metabolite of fluoxastrobin),14727,Not Listed,Unclassified,0,Breakdown product
133,HEC 5725-phenoxy-hydroxypyrimidine (metabolite of fluoxastrobin),14728,519002-09-6,Unclassified,0,Breakdown product
134,"2(1H)-pyridinone, 5-(trifluoromethyl)-",14730,33252-63-0,Unclassified,0,Breakdown product
135,IN-L5296  (metabolite of tribenuron methyl),14731,Not Listed,Unclassified,0,Breakdown product
136,IN-MP819,14732,Not Listed,Unclassified,0,Breakdown product
137,JAU  6476-alpha-hydroxy-Desthio  (metabolite of prothioconazole),14733,Not Listed,Unclassified,0,Breakdown product
138,JAU  6476-Benzylpropyldiol  (metabolite of prothioconazole),14734,Not Listed,Unclassified,0,Breakdown product
139,"JAU 6476  sulfonic acid, potassium salt (metabolite of prothioconazole)",14735,Not Listed,Unclassified,0,Breakdown product
140,JAU 6476  Asymmetric isomer  (metabolite of prothioconazole),14736,Not Listed,Unclassified,0,Breakdown product
141,JAU 6476 - Triazolinone  (metabolite of prothioconazole),14737,Not Listed,Unclassified,0,Breakdown product
142,JAU 6476 sulfonic acid  (metabolite of prothioconazole),14738,Not Listed,Unclassified,0,Breakdown product
143,JAU 6476 DES-Chloro  (metabolite of prothioconazole),14739,Not Listed,Unclassified,0,Breakdown product
144,JAU 6476-alpha-Acetoxy-Desthio  (metabolite of prothioconazole),14740,Not Listed,Unclassified,0,Breakdown product
145,JAU 6476-Desthio  (metabolite of JAU 6476 (prothioconazole)),14741,120983-64-4,Unclassified,0,Breakdown product
146,JAU 6476-Methyl  (Metabolite of Prothioconazole),14742,Not Listed,Unclassified,0,Breakdown product
147,JAU 6476-S-Methyl   (metabolite of prothioconazole),14743,178928-71-7,Unclassified,0,Breakdown product
148,5-Amino-4-chloropyridazin-3(2H)-one,14744,Not Listed,Pyridazinone,0,Breakdown product
149,Methylethoxyquin  (Metabolite of ethoxyquin),14745,71043-65-7,Unclassified,0,Breakdown product
150,Modified Cry3A protein and the genetic material necessary for its production (via elements of pZM26) in Event MIR604 corn,14746,Not Listed,GE Crop,0,Insecticide
151,Muscodor albus strain QST 20799,14747,Not Listed,Microbial,0,"Fumigant,Fungicide"
152,"8-(2,6-diethyl-4-methylphenyl)-tetrahydro pyrazolo -1,2-d",14748,3140320-44-5,Unclassified,0,Breakdown product
153,NOA 447204 ( Metabolite of Pinoxaden),14749,Not Listed,Unclassified,0,Breakdown product
154,Octadecyldimethyl trihydroxysilyl propyl  ammonium chloride,14750,199111-50-7,Quaternary Ammonium Compound,0,Microbiocide
155,Oriental mustard seed (Brassica juncea),14751,Not Listed,Botanical,0,Not Listed
156,Paecilomyces lilacinus strain 251 (A filamentous fungus),14752,Not Listed,Microbial,0,Insecticide
157,Polyxylenol tetrasulfide,14753,Not Listed,Not Listed,0,"Fungicide,Wood Preservative"
158,SYN  505164  (metabolite of Pinoxaden),14754,Not Listed,Unclassified,0,Breakdown product
159,SYN 505887  (metabolite of Pinoxaden),14755,Not Listed,Unclassified,0,Breakdown product
160,Triazolyl acetic acid   (A  metabolite ),14756,Not Listed,Unclassified,0,Breakdown product
161,"Aminopyralid, triisopropanolamine salt",14757,566191-89-7,Pyridinecarboxylic acid,397.29,Herbicide
162,"2-Chloro-5-[4-(difluoromethyl)]-4,5-dihydro-3-hydroxymethyl-5-oxo-1H-1,2,4-triazol-1-yl]-4-fluorobenzoic acid",14758,Not Listed,Unclassified,0,Breakdown product
163,Peroxyoctanoic acid,14761,33734-57-5,Unclassified,0,Not Listed
164,"MCPP, methyl ester",14763,Not Listed,"Chlorophenoxy acid, salt, or ester",228.63,Herbicide
165,Oxamyl oxime,14764,Not Listed,Unclassified,0,Breakdown product
166,"1,4-Napthaquinone",14765,Not Listed,Not Listed,0,Breakdown product
167,TCPSA ethyl ester,14766,Not Listed,Not Listed,0,Breakdown product
168,3-(4-chlorophenyl)-1-methyl urea,14767,Not Listed,Urea,0,Breakdown product
169,Methomyl-oxime,14768,13749-94-5,Unclassified,0,Breakdown product
170,Deethylcyanazine,14769,Not Listed,Unclassified,0,Breakdown product
171,Deethylcyanazine acid,14770,Not Listed,Unclassified,0,Breakdown product
172,Deethylcyanazine amide,14771,Not Listed,Unclassified,0,Breakdown product
173,Methoprene acid,14772,Not Listed,Unclassified,0,Breakdown product
174,Propachlor ethane sulfonic acid,14773,Not Listed,Unclassified,0,Breakdown product
175,Propachlor oxanilic acid,14774,Not Listed,Unclassified,0,Breakdown product
176,Acetochlor sulfynilacetic acid,14775,Not Listed,Unclassified,0,Breakdown product
177,Alachlor sulfynilacetic acid,14776,Not Listed,Unclassified,0,Breakdown product
178,"Alachlor ESA, 2nd amide",14777,Not Listed,Unclassified,0,Breakdown product
179,Acetochlor &amp; Metolachlor 2nd Amide ESA,14778,Not Listed,Unclassified,0,Breakdown product
180,Polycarbazine,14779,Not Listed,Unclassified,0,Fungicide
181,Metrafenone,14780,220899-03-6,Unclassified,409.3,Fungicide
182,Pantoea agglomerans strain E325;  NRRL  B-21856,14781,Not Listed,Microbial,0,Fungicide
183,Pythium oligandrum  DV 74 (ATCC  38472)  (A Filamentous  Fungus),14782,Not Listed,Microbial,0,Fungicide
184,Chenopodium ambrosioides var. ambrosioides,14783,89997-47-7,Microbial,0,Not Listed
185,"Benzeneacetic acid,  2,6-dichloro-",14784,6575-24-2,Substituted Benzene,0,Breakdown product
186,"N,N-Dimethyl oleyl-linoleylamine",14785,Not Listed,Not Listed,0,Not Listed
187,"N,N-Diethylethanolamine",14787,Not Listed,Not Listed,0,Not Listed
188,Methylamine,14788,74-89-5,Amine,31.06,Breakdown product
189,Acetylene,14789,Not Listed,Not Listed,0,Not Listed
190,Red cabbage color,14790,Not Listed,Botanical,0,Not Listed
191,Hydrochloride salt,14792,Not Listed,Inorganic,0,Breakdown product
192,Monomethyl hexazinone,14793,Not Listed,Triazinone,0,Breakdown product
193,2-hydroxycyclohexyl hexazinone,14794,Not Listed,Triazinone,0,Breakdown product
194,Decyclohexyl-4-hydroxy hexazinone,14795,Not Listed,Triazinone,0,Breakdown product
195,Alpha-tridecyl-omega-hydroxypoly(oxyethanol) phosphate,14796,Not Listed,Polyalkyloxy Compound,0,Not Listed
196,Alpha-alkyl (C10-C18)-omega-hydroxypoly(oxyethylene),14797,Not Listed,Polyalkyloxy Compound,0,Not Listed
197,Alpha-alkyl (C6-C10)-omega-hydroxypoly(oxyethylene) Poly(oxypropylene),14798,Not Listed,Polyalkyloxy Compound,0,Not Listed
198,Polyethylene glycol ditallate,14799,Not Listed,Polyalkyloxy Compound,0,Soap or Surfactant
199,Alkanoic And Alkenoic (C18) Mono- And Diesters Of Alpha-hydro-omega-hydroxypoly(oxyethylene),14800,Not Listed,Polyalkyloxy Compound,0,Not Listed
200,Alpha-(dodecylphenyl)-omega-hydroxypoly(oxyethylene) phosphate,14801,Not Listed,Polyalkyloxy Compound,0,Not Listed
201,"2,4,5-trichlorophenol, sodium salt, other related",14802,Not Listed,Chlorinated Phenol,0,Microbiocide
202,Diisopropyl adipate,14803,Not Listed,Not Listed,0,Not Listed
203,3-butoxy-1-propanol,14804,Not Listed,Not Listed,0,Breakdown product
204,Tall oil fatty acids diethanolamide,14805,Not Listed,Not Listed,0,Soap or Surfactant
205,Monoammonium phosphate,14806,7722-76-1,Inorganic,0,Not Listed
206,"Alpha-2,4,6-tristyrylphenyl-omega-hydroxypoly(oxyethylene)",14807,Not Listed,Polyalkyloxy Compound,0,Not Listed
207,"Alpha-2,4,6-tristyrylphenyl-omega-hydroxypoly(oxyethylene) Phosphate, Potassium Salt",14808,Not Listed,Polyalkyloxy Compound,0,Not Listed
208,"1,2,4-Trimethylbenzene",14809,95-63-6,Petroleum derivative-Aromatic,0,Solvent
209,Trimethylbenzenes,14811,Not Listed,Petroleum derivative-Aromatic,0,Solvent
210,Imidacloprid guanidine,14812,Not Listed,Chloro-nicotinyl,0,Breakdown product
211,"N,N-bis-(2-omega-hydroxypoly(oxyethylene)ethyl)alkyl (C14-C18) amine",14813,Not Listed,Polyalkyloxy Compound,0,Not Listed
212,Imidacloprid olefin,14814,Not Listed,Neonicotinoid,0,Breakdown product
213,Imidacloprid olefin des nitro,14815,Not Listed,Chloro-nicotinyl,0,Breakdown product
214,Imidacloprid urea,14816,Not Listed,Chloro-nicotinyl,0,Breakdown product
215,Alpha-isotridecyl-omega-hydroxypoly(oxyethylene) Phosphate,14817,Not Listed,Polyalkyloxy Compound,0,Not Listed
216,2-hydroxypropyl guar gum,14818,Not Listed,Not Listed,0,Not Listed
217,Alpha-alkyl (C12-C20)-omega-hydroxypoly(oxyethylene),14819,Not Listed,Polyalkyloxy Compound,0,Not Listed
218,"Ethoxylated lignosulfonic acid, sodium salt",14820,Not Listed,Not Listed,0,Not Listed
219,Alpha-dodecyl-omega-hydroxypoly(oxyethylene) phosphate,14821,Not Listed,Polyalkyloxy Compound,0,Not Listed
220,Alpha-alkyl (C10-C16)-omega-hydroxypoly(oxyethylene),14822,Not Listed,Polyalkyloxy Compound,0,Adjuvant
221,1-isobutoxy-2-propanol,14823,Not Listed,Not Listed,0,Not Listed
222,Bacillus thuringiensis subspecies Israelensis strain BMP 144,14826,Not Listed,Microbial,0,Insecticide
223,"Oxytetracycline hydrochloride, other related",14827,Not Listed,Unclassified,0,Fungicide
224,Bacillus thuringiensis supsp. israelensis strain SA3A,14828,Not Listed,Microbial,0,Insecticide
225,Tembotrione,14829,335104-84-2,Benzoylcyclohexanedione,440.82,Herbicide
226,"Bacillus  thuringiensis  subspecies  kurstaki  strain  SA-12  solids, spores,  and  insecticidal  toxins,  ATCC  #  SD-1323",14830,68038-71-1,Microbial,0,Insecticide
227,"Bacillus  thuringiensis,  subspecies  kurstaki  strain  SA - 11  solids,  spores and  insecticidal  toxins,  ATCC  #  SD - 1322",14831,Not Listed,Microbial,0,Insecticide
228,Bacillus firmus strain I-1582,14832,Not Listed,Microbial,0,Nematicide
229,Bacillus mycoides  isolate  J,14833,Not Listed,Microbial,0,Not Listed
230,"Bacillus thuringiensis subspecies tenebrionis, strain NB-176",14834,Not Listed,Microbial,0,Insecticide
231,Bacillus thuringiensis var.  kurstaki  Cry1Ac (synpro) and the genetic material  (from the insert of plasmid pMYC3006)  necessar,14835,Not Listed,GE Crop,0,Insecticide
232,Bacillus thuringiensis var. aizawai Cry1F (synpro) and the genetic material  (from the insert  of plasmid  pGMA281)  necessary,14836,Not Listed,GE Crop,0,Insecticide
233,Bacillus thuringiensis Cry1A.105 protein and genetic material necessary (vector PV-ZMIR245) for its production in corn,14837,Not Listed,GE Crop,0,Insecticide
234,Bacillus thuringiensis Cry2Ab2 protein and the genetic material necessary (vector PV-ZMIR245) for its production in corn,14838,Not Listed,GE Crop,0,Insecticide
235,"Bacillus thuringiensis Vip3Aa20 protein encoded by vector pNOV1300 in event MIR162 corn (SYN-IR162-4), % dw",14839,Not Listed,GE Crop,0,Insecticide
236,Calcium lactate,14840,"814-80-2, 5743-47-5",Unclassified,0,Not Listed
237,Diglycerol oleate,14841,Not Listed,Fatty acid ester,0,Adjuvant
238,"Insect protected soybean, MON 87701",14842,Not Listed,GE Crop,0,Insecticide
239,Lactobacillus buchneri   strain  40788,14843,Not Listed,Microbial,0,"Fungicide,Preservative"
240,Mandipropamide,14844,374726-62-2,Not Listed,411.9,Fungicide
241,Nepeta cataria oils,14845,"490-10-8, 8023-84-5",Oil - essential,0,Insecticide
242,"Nonanoic  acid,  ammonium  salt",14846,63718-65-0,Botanical,0,Herbicide
243,Pseudomonas syringae pv. tomato,14847,Not Listed,Microbial,0,Fungicide
244,Pyrasulfotole,14848,365400-11-9,Not Listed,244.3,Herbicide
245,Tobacco mild green mosaic tobamovirus,14849,Not Listed,Microbial,0,Not Listed
246,"1-Octen-3-ol, (-)",14850,3687-48-7,Pheromone,0,Pheromone
247,Bacillus thuringiensis  VIP3A Protein and the  genetic material necessary for its production  (p1988 in cotton),14851,Not Listed,GE Crop,0,Insecticide
248,Bacillus thuringiensis Cry1Ab protein and the genetic material necessary for its production (pTDL004 or pTDL008) in Event T303-3,14852,Not Listed,GE Crop,0,Insecticide
249,(Z)-9-tetradecen-1-ol acetate,14853,16725-53-4,Pheromone,0,Pheromone
250,"cis-3-(2,5-dimethylphenyl)-3-hydroxy-8-methoxy-1-azaspiro[4.5]decane-2,4-dione  (metabolite of Spirotetramat)",14854,Not Listed,Not Listed,0,Not Listed
251,"cis-3-(2,5-dimethylphenyl)-4-hydroxy-8-methoxy-1-azaspiro[4.5]dec-3-en-2-one    (metabolite of Spirotetramat)",14855,Not Listed,Not Listed,0,Not Listed
252,"cis-3-(2,5-dimethylphenyl)-4-hydroxy-8-methoxy-1-azaspiro[4.5]decan-2-one    (metabolite of Spirotetramat)",14856,Not Listed,Not Listed,0,Not Listed
253,"cis-3-(2,5-dimethylphenyl)-8-methoxy-2-oxo-1-azaspiro[4.5]dec-3-en-4-yl beta-D-glucopyranoside  (metabolite of Spirotetramat)",14857,Not Listed,Not Listed,0,Not Listed
254,"Benzenemethanol, 4-[(1-ethylpropyl)amino]-2-methyl-3,5-dinitro-  (Metabolite of pendimethalin )",14858,56750-76-6,Unclassified,0,Breakdown product
255,"1-(1-ethylpropyl)-5,6-dimethyl-7-nitro-1H-benzimidazole  (Metabolite of pendimethalin)",14859,Not Listed,Unclassified,0,Breakdown product
256,"Benzeneacetamide, 4-chloro-alpha-hydroxy-N-[2-[3-methoxy-4-(2-propynyloxy) phenyl] ethyl]-",14860,282720-26-7,Unclassified,0,Breakdown product
257,m-(Trifluoromethyl)benzoic acid  (metabolite of BAS 320 I  = metabolite of  metaflumizone),14861,454-92-2,Unclassified,0,Breakdown product
258,"Benzoic  acid,  4-Cyano-    (metabolite  of  metaflumizone =  metabolite of  BAS  320  I )",14862,619-65-8,Unclassified,0,Breakdown product
259,"Benzonitrile,  4-[2-oxo-2-[3-(trifluoromethyl)phenyl]ethyl]-  (metabolite of BAS  320  I )",14863,146653-56-7,Unclassified,0,Breakdown product
260,"4-{5-hydroxy-3-oxo-4-[4-(trifluoromethoxy)phenyl]-6-[3-(trifluoromethyl)phenyl]-2,3,4,5-tetrahydro-1,2,4-triazin-5-yl} benzonitr",14864,Not Listed,Unclassified,0,Breakdown product
261,Amphetamine sulfate,14865,Not Listed,Unclassified,0,Not Listed
262,Amphetamine Saccharate,14866,Not Listed,Unclassified,0,Not Listed
263,Dextroamphetamine Saccharate,14867,Not Listed,Unclassified,0,Not Listed
264,Tralkoxydim Metabolite (R223068),14869,Not Listed,Unclassified,0,Breakdown product
265,2-Amino-2-methylpropyl   2-isopropyl-4-phenylallophanate    (Metabolite of buprofezin),14870,Not Listed,Unclassified,0,Breakdown product
266,"Benzenamine, 2,6-diethyl-4-methyl-    (positive control   chemical)",14871,24544-08-9,Not Listed,0,Not Listed
267,CGA-249287  (metabolite of  cyprodinil),14872,92238-61-4,Unclassified,0,Breakdown product
268,Spinosyn Factor A metabolite,14873,Not Listed,"Spinosyn, Macrocyclic Lactone",0,Breakdown product
269,Spinosyn Factor D metabolite,14874,Not Listed,"Spinosyn, Macrocyclic Lactone",0,Breakdown product
270,Propamocarb  glucuronide,14875,743449-07-2,Unclassified,0,Breakdown product
271,Bensulide Oxon   (degradate of bensulide),14876,20243-81-6,Organophosphorus,0,Breakdown product
272,Desmethyl  dimethoate   (metabolite of dimethoate),14877,Not Listed,Unclassified,0,Breakdown product
273,N-(Methylsulfinyl)methylphthalamic acid   (Metabolite of phosmet),14878,Not Listed,Unclassified,0,Breakdown product
