,PREFERRED NAME,CASRN,use,SMILES,alogp
89,2-hydroxyethyl octyl sulfide,3547-33-9,Insecticide,CCCCCCCCSCCO,3.0724000000000022
90,2-Hydroxyphenyl methylcarbamate,10309-97-4,Insecticide,CNC(=O)Oc1ccccc1O,1.1104
91,"2-isovaleryl 1-1,3-indandione",83-28-3,Rodenticide,CC(C)CC(=O)C1C(=O)c2ccccc2C1=O,2.2970000000000006
94,2-Lauryl isoquinolinium bromide,93-23-2,"Fungicide,Microbiocide",CCCCCCCCCCCC[n+]1ccc2ccccc2c1,6.048200000000007
95,2-Mercaptobenzothiazole,149-30-4,"Fungicide,Microbiocide",S=C1Nc2ccccc2S1,2.9588900000000002
101,"2-Mercaptobenzothiazole, sodium salt",2492-26-4,"Fungicide,Microbiocide",[S-]c1nc2ccccc2s1,2.2020999999999997
103,2-methyl-1-naphthalene acetamide,85-07-4,Fungicide,Cc1ccc2ccccc2c1CC(N)=O,2.17602
104,"2-Methyl-3(2H)-isothiazolone, calcium chloride complex",57373-20-3,Microbiocide,Cn1sccc1=O,0.4468
106,"2-methyl-4,5-trimethylene-4-isothiazolin-3-one",82633-79-2,Microbiocide,CN1SC2=C(CCC2)C1=O,0.9355
108,"2-Nitro-2-ethyl-1,3-propanediol",597-09-1,Microbiocide,CCC(CO)(CO)[N+]([O-])=O,-0.6034999999999999
109,"2-Nitro-2-methyl-1,3-propanediol",77-49-6,Microbiocide,CC(CO)(CO)[N+]([O-])=O,-0.9936
111,2-tert-Amylphenol,87-26-3,Microbiocide,CCCC(C)c1ccccc1O,3.295800000000002
112,"2,2-dibromo-3-nitrilopropionamide",10222-01-2,Microbiocide,NC(=O)C(Br)(Br)C#N,0.48138000000000003
113,"2,2-methylene bis(4,6-dichlorophenol), sodium salt",68957-70-0,Microbiocide,[O-]c1c(Cl)cc(Cl)cc1Cc1cc(Cl)cc(Cl)c1[O-],4.038200000000002
115,"2,2'-(1-methyltrimethylenedioxy)bis-(4-methyl-1,3,2-dioxaborinane)",2665-13-6,Microbiocide,CC1CCOB(OCCC(C)OB2OCCC(C)O2)O1,1.4187999999999996
118,"2,2'-Dithiobisbenzothiazole",120-78-5,"Fungicide,Insecticide,Microbiocide",S(Sc1sc2ccccc2n1)c3sc4ccccc4n3,5.705400000000002
119,"2,2'-Methylenebis(4,6-dichlorophenol)",1940-43-8,Microbiocide,Oc1c(Cl)cc(Cl)cc1Cc2cc(Cl)cc(Cl)c2O,5.302200000000003
120,"2,2'-oxybis (4,4,6-trimethyl-1,3,2-dioxaborinane)",14697-50-8,Microbiocide,CC1CC(C)(C)OB(OB2OC(C)CC(C)(C)O2)O1,2.1807999999999996
122,"2,3,5-trichloro-4-(propylsulfonyl) pyridine",38827-35-9,Microbiocide,CCC[S](=O)(=O)c1c(Cl)cnc(Cl)c1Cl,3.225500000000002
124,"2,3,5,6-tetrachloro-4-(methylsulfonyl) pyridine",13108-52-6,Microbiocide,C[S](=O)(=O)c1c(Cl)c(Cl)nc(Cl)c1Cl,3.098700000000001
128,"2,3,6-Trichlorobenzoic acid, sodium salt",2078-42-4,Herbicide,O=C([O-])c1c(Cl)ccc(Cl)c1Cl,2.0103
129,"2,3,6-Trichlorophenylacetic acid",2903-64-2,Herbicide,OC(=O)Cc1cc(Cl)c(Cl)cc1Cl,3.273900000000001
130,"2,3,6-Trichlorophenylacetic acid, sodium salt",53404-91-4,Herbicide,O=C([O-])Cc1c(Cl)ccc(Cl)c1Cl,1.9391999999999998
131,"2,3(and 3,4)-Dichlorobenzyl methylcarbamates",62046-37-1,Insecticide,CNC(=O)OCc1cccc(Cl)c1Cl,2.849400000000001
132,"2,4-D",94-75-7,"Herbicide,Plant Growth Regulator",OC(=O)COc1ccc(Cl)cc1Cl,2.4568000000000003
136,"2,4-D, 2-butoxyisopropyl ester",3966-11-8,Herbicide,CCCCOCC(C)OC(=O)COc1ccc(Cl)cc1Cl,4.120600000000004
137,"2,4-D, 2-ethylhexyl ester",1928-43-4,Herbicide,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,5.131800000000005
140,"2,4-D, butoxy ethoxy propanol ester",1928-57-0,Herbicide,CCCCOCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,4.138800000000004
141,"2,4-D, butoxyethanol ester",1929-73-3,Herbicide,CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,3.7321000000000026
142,"2,4-D, butoxypropyl ester",1928-45-6,Herbicide,CCCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,4.122200000000004
143,"2,4-D, butyl ester",94-80-4,Herbicide,CCCCOC(=O)COc1ccc(Cl)cc1Cl,3.7155000000000022
144,"2,4-D, chlorocrotyl ester",2971-38-2,Herbicide,ClC\C=C\COC(=O)COc1ccc(Cl)cc1Cl,3.7104000000000026
150,"2,4-D, isopropyl ester",94-11-1,Herbicide,CC(C)OC(=O)COc1ccc(Cl)cc1Cl,3.323800000000002
152,"2,4-D, lithium salt",3766-27-6,Herbicide,O=C([O-])COc1ccc(Cl)cc1Cl,1.1220999999999997
156,"2,4-D, octyl ester",1928-44-5,Herbicide,CCCCCCCCOC(=O)COc1ccc(Cl)cc1Cl,5.2759000000000045
157,"2,4-D, propyl ester",1928-61-6,Herbicide,CCCOC(=O)COc1ccc(Cl)cc1Cl,3.325400000000002
158,"2,4-D, propylene glycol butyl ether ester",1320-18-9,Herbicide,CCCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,4.122200000000004
159,"2,4-D, sodium salt",2702-72-9,Herbicide,O=C(C[O-])Oc1ccc(Cl)cc1Cl,1.2591
165,"2,4-DB acid",94-82-6,Herbicide,OC(=O)CCCOc1ccc(Cl)cc1Cl,3.237000000000002
167,"2,4-DB, isooctyl ester",1320-15-6,Herbicide,CCCCCCC(C)OC(=O)CCCOc1ccc(Cl)cc1Cl,6.054500000000005
168,"2,4-DES",149-26-8,Herbicide,O[S](=O)(=O)OCCOc1ccc(Cl)cc1Cl,2.1916
169,Tirpate,26419-73-8,Insecticide,CNC(=O)O/N=C/C1(C)SCC(C)S1,1.9128999999999998
173,"2,4-DP, isooctyl ester",28631-35-8,"Herbicide,Plant Growth Regulator",CCCCCCC(C)OC(=O)C(C)Oc1ccc(Cl)cc1Cl,5.662800000000005
175,"2,4-DP,2-ethylhexyl ester",79270-78-3,"Herbicide,Plant Growth Regulator",CCCCC(CC)COC(=O)C(C)Oc1ccc(Cl)cc1Cl,5.520300000000005
176,"2,4-xylenol",105-67-9,"Fungicide,Microbiocide,Solvent",Cc1ccc(O)c(C)c1,2.0090399999999997
177,"2,4,5-T",93-76-5,Herbicide,OC(=O)COc1cc(Cl)c(Cl)cc1Cl,3.1102000000000007
178,"2,4,5-T, 2-ethylhexyl ester",1928-47-8,Herbicide,CCCCC(CC)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,5.785200000000005
180,"2,4,5-T, butoxyethanol ester",2545-59-7,Herbicide,CCCCOCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,4.385500000000004
181,"2,4,5-T, butyl ester",93-79-8,Herbicide,CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,4.368900000000003
182,"2,4,5-T, butyric acid",93-80-1,Herbicide,OC(=O)CCCOc1cc(Cl)c(Cl)cc1Cl,3.8904000000000014
185,"2,4,5-T, isooctyl ester",25168-15-4,Herbicide,CCCC(CC)CCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,5.785200000000005
189,"2,4,5-trichlorophenol",95-95-4,"Algaecide,Microbiocide",Oc1cc(Cl)c(Cl)cc1Cl,3.3524000000000003
191,"2,4,5-trichlorophenol, potassium salt",35471-43-3,Microbiocide,[O-]c1cc(Cl)c(Cl)cc1Cl,2.7204000000000006
193,"2,4,5-Trichlorophenol, sodium salt",136-32-3,"Algaecide,Microbiocide",[O-]c1cc(Cl)c(Cl)cc1Cl,2.7204000000000006
194,"2,4,5-trichlorophenoxyacetic acid, 2-ethyl-4-methylpentyl ester",69462-12-0,Herbicide,CCC(COC(=O)COc1cc(Cl)c(Cl)cc1Cl)CC(C)C,5.641100000000004
196,"2,4,5-trichlorophenoxyacetic acid, amyl ester",120-39-8,Herbicide,CCCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,4.759000000000003
197,"2,4,5-trichlorophenoxyacetic acid, butoxyethoxypropanol ester",1928-58-1,Herbicide,CCCCOCCOCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,4.792200000000005
199,"2,4,5-trichlorophenoxyacetic acid, isobutyl ester",4938-72-1,Herbicide,CC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,4.224800000000003
200,"2,4,5-trichlorophenoxyacetic acid, isopropyl ester",93-78-7,Herbicide,CC(C)OC(=O)COc1cc(Cl)c(Cl)cc1Cl,3.9772000000000025
204,"2,4,5-trichlorophenoxyacetic acid, pentyl ester",55491-33-3,Herbicide,CCCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,4.759000000000003
205,"2,4,5-trichlorophenoxyacetic acid, sodium salt",13560-99-1,Herbicide,O=C([O-])COc1cc(Cl)c(Cl)cc1Cl,1.7754999999999996
207,"2,4,6-trichlorophenol",88-06-2,Microbiocide,Oc1c(Cl)cc(Cl)cc1Cl,3.3523999999999994
208,"2,4,6-Trichlorophenol, sodium salt",3784-03-0,"Algaecide,Microbiocide",[O-]c1c(Cl)cc(Cl)cc1Cl,2.7204000000000006
209,"2,5-dichloro-alpha-(chloromethylene)benzyl diethyl phosphate",2701-86-2,Insecticide,CCO[P](=O)(OCC)OC(=C\Cl)/c1cc(Cl)ccc1Cl,5.7283000000000035
210,"2,5-dichloro-alpha-(dichloromethylene)benzyl diethyl phosphate",5723-62-6,Insecticide,CCO[P](=O)(OCC)OC(=C(Cl)Cl)c1cc(Cl)ccc1Cl,6.294800000000003
211,"2,5-Dichlorobenzoic acid",50-79-3,Fungicide,OC(=O)c1cc(Cl)ccc1Cl,2.691600000000001
212,"2,5-Dichlorobenzoic acid methyl ester",2905-69-3,Fungicide,COC(=O)c1cc(Cl)ccc1Cl,2.780000000000001
216,3-(trimethoxysilyl) propyl dimethyl octadecyl ammonium chloride,27668-52-6,Microbiocide,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC[Si](OC)(OC)OC,7.592500000000008
217,"3-Acetyl-2-(2,6-dimethyl-5-heptenyl)oxazolidine",39785-81-4,Microbiocide,CC(CCC=C(C)C)CC1OCCN1C(C)=O,2.963800000000001
218,"3-Bromo-1-chloro-5,5-dimethylhydantoin",126-06-7,"Fungicide,Herbicide,Microbiocide",CC1(C)N(Cl)C(=O)N(Br)C1=O,1.4929
219,"3-chloro-2-biphenylol, sodium salt",10605-11-5,Microbiocide,[O-]c1c(Cl)cccc1-c1ccccc1,3.0806000000000013
221,3-chlorophenoxy-alpha-propionamide,5825-87-6,"Herbicide,Plant Growth Regulator",CC(Oc1cccc(Cl)c1)C(N)=O,1.5925999999999998
222,3-CPA,101-10-0,"Herbicide,Plant Growth Regulator",CC(Oc1cccc(Cl)c1)C(O)=O,2.1919
225,3-iodo-2-propynyl butyl carbamate,55406-53-6,"Fungicide,Wood Preservative",CCCCNC(=O)OCC#CI,1.9086
226,3-Trifluoromethyl-4-nitrophenol,88-30-2,"Breakdown product,Piscicide",Oc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,2.3192000000000004
228,"3,3,4,4-tetrachloro tetrahydro thiophene 1,1-dioxide",3737-41-5,Microbiocide,ClC1(Cl)C[S](=O)(=O)CC1(Cl)Cl,1.7626
230,"3,4-Dichloro-5-isothiazolecarboxylic acid",18480-53-0,Microbiocide,OC(=O)c1snc(Cl)c1Cl,2.1481
231,"3,4-Dichlorobenzyl methylcarbamate",2328-31-6,Insecticide,CNC(=O)OCc1cccc(Cl)c1Cl,2.849400000000001
232,"3,4,4-trimethyl oxazolidine",75673-43-7,Microbiocide,CN1COCC1(C)C,0.6844999999999998
234,"3,5-dibromosalicylanilide",2577-72-2,Microbiocide,Oc1c(Br)cc(Br)cc1C(=O)Nc2ccccc2,4.169500000000002
235,"3,5-Diisopropylphenyl methylcarbamate",330-64-3,Insecticide,CNC(=O)Oc1cc(cc(c1)C(C)C)C(C)C,3.651600000000003
236,"3(2H)-chloro-2-methyl-3(2H)-isothiazolone, calcium chloride complex",57373-19-0,Microbiocide,Cn1sc(Cl)cc1=O,1.1002
241,4 or 6-chloro-2-phenylphenol,53537-62-5,Microbiocide,Oc1c(Cl)cccc1c2ccccc2,3.712600000000002
243,4-(((Dimethylamino)methylene)amino)-m-tolyl methylcarbamate,17702-57-7,Insecticide,CNC(=O)Oc1ccc(N=C[NH+](C)C)c(C)c1,0.51752
244,4-(2-nitrobutyl) morpholine,2224-44-4,Microbiocide,CCC(CN1CCOCC1)[N+]([O-])=O,0.37390000000000034
245,"4-(2,4-DB), butoxyethanol ester",32357-46-3,Herbicide,CCCCOCCOC(=O)CCCOc1ccc(Cl)cc1Cl,4.512300000000004
246,"4-(Methylamino)-3,5-xylyl methylcarbamate",10389-50-1,Insecticide,CNC(=O)Oc1cc(C)c(NC)c(C)c1,2.06334
247,"4-(Methylformamido)-3,5-xylyl methylcarbamate",10233-94-0,Insecticide,CNC(=O)Oc1cc(C)c(N(C)C=O)c(C)c1,1.6142400000000001
248,4-(Methylthio)-m-tolyl methylcarbamate,3566-00-5,Insecticide,CNC(=O)Oc1ccc(SC)c(C)c1,2.4351200000000004
249,"4-Amino-3,5-xylyl methylcarbamate",831-76-5,Insecticide,CNC(=O)Oc1cc(C)c(N)c(C)c1,1.6038400000000002
250,4-aminopyridine,504-24-5,Avicide,Nc1ccncc1,0.6638000000000001
251,"4-chloro-2-cyclopentyl phenol, potassium salt",35471-38-6,"Fungicide,Microbiocide",[O-]c1ccc(Cl)cc1C1CCCC1,3.071200000000001
252,4-chloro-2-cyclopentylphenol,13347-42-7,"Fungicide,Microbiocide",Oc1ccc(Cl)cc1C2CCCC2,3.7032000000000016
253,4-chloro-2-n-octyl-3(2H)-isothiazolone,64359-80-4,Microbiocide,CCCCCCCCN1SC=C(Cl)C1=O,3.923700000000003
254,4-chloro-2-phenylphenol,607-12-5,Microbiocide,Oc1ccc(Cl)cc1c2ccccc2,3.712600000000002
255,"4-chloro-2-phenylphenol, potassium salt",53404-21-0,Microbiocide,[O-]c1ccc(Cl)cc1-c1ccccc1,3.0806000000000013
256,"4-chloro-2-phenylphenol, sodium salt",10605-10-4,Microbiocide,[O-]c1ccc(Cl)cc1-c1ccccc1,3.0806000000000013
257,"4-chloro-cyclopentylphenol, sodium salt",53404-20-9,"Fungicide,Microbiocide",[O-]c1ccc(Cl)cc1C1CCCC1,3.071200000000001
258,"4-hydroxy-2,5-dimethyl-3-(2H)furanone",3658-77-3,Insecticide,CC1OC(=C(O)C1=O)C,0.7636999999999998
259,"4,4-(2-ethyl-2-nitrotrimethylene) dimorpholine",1854-23-5,Microbiocide,CCC(CN1CCOCC1)(CN2CCOCC2)[N+]([O-])=O,0.07630000000000225
260,"4,4-dimethyl oxazolidine",51200-87-4,"Impurity,Microbiocide",CC1(C)COCN1,0.3422999999999999
261,"4,4-dimethyl-2-oxazolidinone",26654-39-7,Microbiocide,CC1(C)COC(=O)N1,0.5047999999999999
262,"4,5-dibromosalicylanilide",87-12-7,Microbiocide,Oc1ccc(Br)cc1C(=O)Nc2ccc(Br)cc2,4.169500000000001
263,"4,5-dichloro-2-n-octyl-3(2H)-isothiazolone",64359-81-5,"Antifoulant,Microbiocide",CCCCCCCCN1SC(=C(Cl)C1=O)Cl,4.577100000000004
264,"4,6-dichloro-2-phenylphenol",5335-24-0,Microbiocide,Oc1c(Cl)cc(Cl)cc1c2ccccc2,4.366000000000001
265,"4,6-dichloro-2-phenylphenol, potassium salt",53404-30-1,Microbiocide,[O-]c1c(Cl)cc(Cl)cc1-c1ccccc1,3.7340000000000018
266,4'-hydroxy-m-phenoxy benzoic acid,35065-12-4,"Fungicide,Microbiocide",OC(=O)c1cccc(Oc2ccc(O)cc2)c1,2.8827000000000007
269,"5-Benzyl-3-furylmethyl (+)-cis-(1R,3S,E)2,2-dimethyl-3-(2-oxo-2,3,4,5-tetrahydrothiophenylidenemethyl)cyclopropanecarboxylate",58769-20-3,Insecticide,CC1(C)[C@H](\C=C2/CCSC2=O)C1C(=O)OCc3coc(Cc4ccccc4)c3,4.775700000000004
270,"5-Bromo-2-methyl-5-nitro-1,3-dioxane",53983-00-9,Microbiocide,CC1OCC(Br)(CO1)[N+]([O-])=O,0.7471
272,5-chloro-2-(4-chlorophenylmethyl)-3(2H)-isothiazolone,66159-95-3,Microbiocide,ClC1=CC(=O)N(Cc2ccc(Cl)cc2)S1,3.264900000000001
277,"5-hydroxy methoxy methyl-1-aza-3,7-dioxabicyclo (3.3.0) octane",59720-42-2,Microbiocide,OCOCC12COCN1COC2,-1.0309999999999997
278,"5-hydroxymethyl-1-aza-3,7-dioxabicyclo (3.3.0) octane",6542-37-6,Microbiocide,OCC12COCN1COC2,-1.0050999999999999
279,"5-hydroxypoly (methyleneoxy) (74%C2, 21%C3, 4%C4, 1%C5) methyl-1-aza-3,7-dioxabicyclo (3.3.0) octane",56709-13-8,Microbiocide,OCOCC12COCN1COC2,-1.0309999999999997
281,"5,6,7,8-Tetrahydro-1-naphthyl methylcarbamate",1136-84-1,Insecticide,CNC(=O)Oc1cccc2CCCCc12,2.2836000000000007
283,6-chloro-2-phenylphenol,85-97-2,Microbiocide,Oc1c(Cl)cccc1c2ccccc2,3.712600000000002
284,"6-chloro-2-phenylphenol, potassium salt",18128-17-1,Microbiocide,[O-]c1c(Cl)cccc1-c1ccccc1,3.0806000000000013
285,6-chloropicolinic acid,4684-94-0,Herbicide,OC(=O)c1cccc(Cl)n1,1.4332
286,"6-chloropiperonyl 2,2-dimethyl-3-(2-methylpropenyl)cyclopropanecarboxylate",70-43-9,Insecticide,CC(C)=CC1C(C(=O)OCc2cc3OCOc3cc2Cl)C1(C)C,4.350300000000003
287,Pyramat,2532-49-2,Insecticide,CCCc1nc(C)cc(OC(=O)N(C)C)n1,1.79792
288,6-tert-Butyl-4-chloro-m-cresol,30894-16-7,Microbiocide,Cc1cc(O)c(cc1Cl)C(C)(C)C,3.6515200000000023
289,7-(diethyl amino)-4-methyl coumarin,91-44-1,Rodenticide,CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C,2.9476200000000015
290,8-Hydroxyquinoline,148-24-3,"Fungicide,Microbiocide",Oc1cccc2cccnc12,1.9403999999999995
297,Acephate,"30560-19-1, 115096-11-2",Insecticide,CO[P](=O)(NC(C)=O)SC,1.24
298,Acequinocyl,57960-19-7,Insecticide,CCCCCCCCCCCCC1=C(OC(C)=O)C(=O)c2ccccc2C1=O,6.193800000000007
300,Acetamiprid,135410-20-7,Insecticide,CN(Cc1ccc(Cl)nc1)C(C)=NC#N,2.06628
301,Acethion,919-54-0,Insecticide,CCOC(=O)CS[P](=S)(OCC)OCC,2.5802000000000005
302,Acetic acid,"64-19-7, 8028-52-2","Fungicide,Herbicide,Microbiocide,pH Adjustment",CC(O)=O,0.09089999999999993
304,Acetochlor,34256-82-1,Herbicide,CCOCN(C(=O)CCl)c1c(C)cccc1CC,3.1232200000000017
305,Acetoxon,2425-25-4,"Breakdown product,Insecticide",CCOC(=O)CS[P](=O)(OCC)OCC,2.4638
308,Acibenzolar-S-methyl,"135158-54-2, 126448-41-7",Fungicide,CSC(=O)c1cccc2nnsc12,2.1945000000000006
309,Acifluorfen,50594-66-6,Herbicide,OC(=O)c1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+]([O-])=O,4.757500000000002
310,"Acifluorfen, sodium salt",62476-59-9,Herbicide,O=C([O-])c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],3.4228000000000014
311,Aclonifen,74070-46-5,Herbicide,Nc1c(Cl)c(Oc2ccccc2)ccc1[N+]([O-])=O,3.622700000000001
