,PREFERRED NAME,CASRN,use,SMILES,mw,nheavy,alogp
46,"2-chloro-4-phenylphenol, potassium salt",18128-16-0,Microbiocide,Oc1ccc(-c2ccccc2)cc1Cl,204.656,14,3.712600000000001
47,"2-chloro-4-phenylphenol, sodium salt",31366-97-9,Microbiocide,Oc1ccc(-c2ccccc2)cc1Cl,204.656,14,3.712600000000001
48,"2-chloro-4,5-xylyl N-hydroxy-N-methylcarbamate","14357-82-5, 10310-17-5",Insecticide,Cc1cc(Cl)c(OC(=O)N(C)O)cc1C,229.663,15,2.7766400000000004
49,2-Chlorophenol,95-57-8,Microbiocide,Oc1ccccc1Cl,128.558,8,2.0456000000000003
50,"2-cyclohexyl-4,5-dichloro-4-isothioazolin-3-one",57063-29-3,Insecticide,O=c1c(Cl)c(Cl)sn1C1CCCCC1,252.16599999999994,14,3.7218000000000018
51,2-cyclopentylphenyl methylcarbamate,3282-00-6,Insecticide,CNC(=O)Oc1ccccc1C1CCCC1,219.28399999999993,16,3.062400000000002
52,2-EEEBC,62732-91-6,Fungicide,CCOCCOCCOC(=O)Nc1nc2ccccc2[nH]1,293.32300000000004,21,2.1645
53,2-ethoxyethanol,110-80-5,"Chemical intermediate,Fuel or fuel additive,Fungicide,Microbiocide,Paints, coatings, resins,Solvent",CCOCCO,90.122,6,0.015200000000000047
54,2-Heptadecenyl-2-imidazoline,30968-43-5,"Algaecide,Microbiocide",CCCCCCCCCCCCCC/C=C\CC1=NCCN1,306.538,22,6.025600000000006
57,2-hydroxyethyl octyl sulfide,3547-33-9,Insecticide,CCCCCCCCSCCO,190.35199999999998,12,3.0724000000000022
58,2-Hydroxyphenyl methylcarbamate,10309-97-4,Insecticide,CNC(=O)Oc1ccccc1O,167.164,12,1.1104
59,"2-isovaleryl 1-1,3-indandione",83-28-3,Rodenticide,CC(C)CC(=O)C1C(=O)c2ccccc2C1=O,230.26299999999998,17,2.2970000000000006
61,2-Lauryl isoquinolinium bromide,93-23-2,"Fungicide,Microbiocide",CCCCCCCCCCCC[n+]1ccc2ccccc2c1,298.494,22,6.048200000000007
62,2-Mercaptobenzothiazole,149-30-4,"Fungicide,Microbiocide",S=c1[nH]c2ccccc2s1,167.25799999999998,10,2.9588900000000002
66,"2-Mercaptobenzothiazole, sodium salt",2492-26-4,"Fungicide,Microbiocide",Sc1nc2ccccc2s1,167.25799999999998,10,2.585
67,2-methyl-1-naphthalene acetamide,85-07-4,Fungicide,Cc1ccc2ccccc2c1CC(N)=O,199.25299999999996,15,2.17602
68,"2-Methyl-3(2H)-isothiazolone, calcium chloride complex",57373-20-3,Microbiocide,Cn1sccc1=O,115.15699999999998,7,0.4468
70,"2-methyl-4,5-trimethylene-4-isothiazolin-3-one",82633-79-2,Microbiocide,Cn1sc2c(c1=O)CCC2,155.22199999999998,10,0.9355
71,"2-Nitro-2-ethyl-1,3-propanediol",597-09-1,Microbiocide,CCC(CO)(CO)[N+](=O)[O-],149.146,10,-0.6034999999999999
72,"2-Nitro-2-methyl-1,3-propanediol",77-49-6,Microbiocide,CC(CO)(CO)[N+](=O)[O-],135.119,9,-0.9936
73,2-tert-Amylphenol,87-26-3,Microbiocide,CCCC(C)c1ccccc1O,164.248,12,3.295800000000002
74,"2,2-dibromo-3-nitrilopropionamide",10222-01-2,Microbiocide,N#CC(Br)(Br)C(N)=O,241.86999999999998,8,0.4813800000000001
75,"2,2-methylene bis(4,6-dichlorophenol), sodium salt",68957-70-0,Microbiocide,Oc1c(Cl)cc(Cl)cc1Cc1cc(Cl)cc(Cl)c1O,338.01700000000005,19,5.302200000000003
76,"2,2'-(1-methyltrimethylenedioxy)bis-(4-methyl-1,3,2-dioxaborinane)",2665-13-6,Microbiocide,CC1CCOB(OCCC(C)OB2OCCC(C)O2)O1,285.942,20,1.4187999999999996
77,"2,2'-Dithiobisbenzothiazole",120-78-5,"Fungicide,Insecticide,Microbiocide",c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,332.50000000000006,20,5.705400000000002
78,"2,2'-Methylenebis(4,6-dichlorophenol)",1940-43-8,Microbiocide,Oc1c(Cl)cc(Cl)cc1Cc1cc(Cl)cc(Cl)c1O,338.01700000000005,19,5.302200000000003
79,"2,2'-oxybis (4,4,6-trimethyl-1,3,2-dioxaborinane)",14697-50-8,Microbiocide,CC1CC(C)(C)OB(OB2OC(C)CC(C)(C)O2)O1,269.943,19,2.1807999999999996
80,"2,3,5-trichloro-4-(propylsulfonyl) pyridine",38827-35-9,Microbiocide,CCCS(=O)(=O)c1c(Cl)cnc(Cl)c1Cl,288.58299999999997,15,3.225500000000002
81,"2,3,5,6-tetrachloro-4-(methylsulfonyl) pyridine",13108-52-6,Microbiocide,CS(=O)(=O)c1c(Cl)c(Cl)nc(Cl)c1Cl,294.97400000000005,14,3.098700000000001
83,"2,3,6-Trichlorobenzoic acid, sodium salt",2078-42-4,Herbicide,O=C(O)c1c(Cl)ccc(Cl)c1Cl,225.458,12,3.3450000000000006
84,"2,3,6-Trichlorophenylacetic acid",2903-64-2,Herbicide,O=C(O)Cc1cc(Cl)c(Cl)cc1Cl,239.485,13,3.273900000000001
85,"2,3,6-Trichlorophenylacetic acid, sodium salt",53404-91-4,Herbicide,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,239.485,13,3.273900000000001
86,"2,3(and 3,4)-Dichlorobenzyl methylcarbamates",62046-37-1,Insecticide,CNC(=O)OCc1cccc(Cl)c1Cl,234.082,14,2.849400000000001
87,"2,4-D",94-75-7,"Herbicide,Plant Growth Regulator",O=C(O)COc1ccc(Cl)cc1Cl,221.039,13,2.4568000000000003
89,"2,4-D, 2-butoxyisopropyl ester",3966-11-8,Herbicide,CCCCOCC(C)OC(=O)COc1ccc(Cl)cc1Cl,335.227,21,4.120600000000004
90,"2,4-D, 2-ethylhexyl ester",1928-43-4,Herbicide,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,333.255,21,5.131800000000005
93,"2,4-D, butoxy ethoxy propanol ester",1928-57-0,Herbicide,CCCCOCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,379.28,24,4.138800000000004
94,"2,4-D, butoxyethanol ester",1929-73-3,Herbicide,CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,321.20000000000005,20,3.7321000000000026
95,"2,4-D, butoxypropyl ester",1928-45-6,Herbicide,CCCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,335.227,21,4.122200000000004
96,"2,4-D, butyl ester",94-80-4,Herbicide,CCCCOC(=O)COc1ccc(Cl)cc1Cl,277.147,17,3.7155000000000022
97,"2,4-D, chlorocrotyl ester",2971-38-2,Herbicide,O=C(COc1ccc(Cl)cc1Cl)OC/C=C/CCl,309.576,18,3.7104000000000026
102,"2,4-D, isopropyl ester",94-11-1,Herbicide,CC(C)OC(=O)COc1ccc(Cl)cc1Cl,263.12,16,3.323800000000002
104,"2,4-D, lithium salt",3766-27-6,Herbicide,O=C(O)COc1ccc(Cl)cc1Cl,221.039,13,2.4568000000000003
107,"2,4-D, octyl ester",1928-44-5,Herbicide,CCCCCCCCOC(=O)COc1ccc(Cl)cc1Cl,333.255,21,5.2759000000000045
108,"2,4-D, propyl ester",1928-61-6,Herbicide,CCCOC(=O)COc1ccc(Cl)cc1Cl,263.12,16,3.325400000000002
109,"2,4-D, propylene glycol butyl ether ester",1320-18-9,Herbicide,CCCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,335.227,21,4.122200000000004
110,"2,4-D, sodium salt",2702-72-9,Herbicide,O=C(CO)Oc1ccc(Cl)cc1Cl,221.039,13,1.8911
115,"2,4-DB acid",94-82-6,Herbicide,O=C(O)CCCOc1ccc(Cl)cc1Cl,249.09300000000002,15,3.237000000000002
117,"2,4-DB, isooctyl ester",1320-15-6,Herbicide,CCCCCCC(C)OC(=O)CCCOc1ccc(Cl)cc1Cl,361.30899999999997,23,6.054500000000005
118,"2,4-DES",149-26-8,Herbicide,O=S(=O)(O)OCCOc1ccc(Cl)cc1Cl,287.12,16,2.1916
119,Tirpate,26419-73-8,Insecticide,CNC(=O)O/N=C/C1(C)SCC(C)S1,234.34599999999998,14,1.9128999999999998
121,"2,4-DP, isooctyl ester",28631-35-8,"Herbicide,Plant Growth Regulator",CCCCCCC(C)OC(=O)C(C)Oc1ccc(Cl)cc1Cl,347.28200000000004,22,5.662800000000005
123,"2,4-DP,2-ethylhexyl ester",79270-78-3,"Herbicide,Plant Growth Regulator",CCCCC(CC)COC(=O)C(C)Oc1ccc(Cl)cc1Cl,347.28200000000004,22,5.520300000000005
124,"2,4-xylenol",105-67-9,"Fungicide,Microbiocide,Solvent",Cc1ccc(O)c(C)c1,122.16699999999999,9,2.0090399999999997
125,"2,4,5-T",93-76-5,Herbicide,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,255.48399999999998,14,3.1102000000000007
126,"2,4,5-T, 2-ethylhexyl ester",1928-47-8,Herbicide,CCCCC(CC)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,367.70000000000005,22,5.785200000000005
127,"2,4,5-T, butoxyethanol ester",2545-59-7,Herbicide,CCCCOCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,355.6450000000001,21,4.385500000000004
128,"2,4,5-T, butyl ester",93-79-8,Herbicide,CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,311.592,18,4.368900000000003
129,"2,4,5-T, butyric acid",93-80-1,Herbicide,O=C(O)CCCOc1cc(Cl)c(Cl)cc1Cl,283.538,16,3.8904000000000014
131,"2,4,5-T, isooctyl ester",25168-15-4,Herbicide,CCCC(CC)CCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,367.70000000000005,22,5.785200000000005
134,"2,4,5-trichlorophenol",95-95-4,"Algaecide,Microbiocide",Oc1cc(Cl)c(Cl)cc1Cl,197.448,10,3.3524000000000003
135,"2,4,5-trichlorophenol, potassium salt",35471-43-3,Microbiocide,Oc1cc(Cl)c(Cl)cc1Cl,197.448,10,3.3524000000000003
136,"2,4,5-Trichlorophenol, sodium salt",136-32-3,"Algaecide,Microbiocide",Oc1cc(Cl)c(Cl)cc1Cl,197.448,10,3.3524000000000003
137,"2,4,5-trichlorophenoxyacetic acid, 2-ethyl-4-methylpentyl ester",69462-12-0,Herbicide,CCC(COC(=O)COc1cc(Cl)c(Cl)cc1Cl)CC(C)C,367.70000000000016,22,5.641100000000004
139,"2,4,5-trichlorophenoxyacetic acid, amyl ester",120-39-8,Herbicide,CCCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,325.619,19,4.759000000000003
140,"2,4,5-trichlorophenoxyacetic acid, butoxyethoxypropanol ester",1928-58-1,Herbicide,CCCCOCCOCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,413.725,25,4.792200000000005
142,"2,4,5-trichlorophenoxyacetic acid, isobutyl ester",4938-72-1,Herbicide,CC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,311.592,18,4.224800000000003
143,"2,4,5-trichlorophenoxyacetic acid, isopropyl ester",93-78-7,Herbicide,CC(C)OC(=O)COc1cc(Cl)c(Cl)cc1Cl,297.56500000000005,17,3.9772000000000025
146,"2,4,5-trichlorophenoxyacetic acid, pentyl ester",55491-33-3,Herbicide,CCCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,325.619,19,4.759000000000003
147,"2,4,5-trichlorophenoxyacetic acid, sodium salt",13560-99-1,Herbicide,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,255.48399999999998,14,3.1102000000000007
148,"2,4,6-trichlorophenol",88-06-2,Microbiocide,Oc1c(Cl)cc(Cl)cc1Cl,197.44799999999998,10,3.3523999999999994
149,"2,4,6-Trichlorophenol, sodium salt",3784-03-0,"Algaecide,Microbiocide",Oc1c(Cl)cc(Cl)cc1Cl,197.44799999999998,10,3.3523999999999994
150,"2,5-dichloro-alpha-(chloromethylene)benzyl diethyl phosphate",2701-86-2,Insecticide,CCOP(=O)(OCC)O/C(=C\Cl)c1cc(Cl)ccc1Cl,359.5730000000001,20,5.7283000000000035
151,"2,5-dichloro-alpha-(dichloromethylene)benzyl diethyl phosphate",5723-62-6,Insecticide,CCOP(=O)(OCC)OC(=C(Cl)Cl)c1cc(Cl)ccc1Cl,394.01800000000014,21,6.294800000000003
152,"2,5-Dichlorobenzoic acid",50-79-3,Fungicide,O=C(O)c1cc(Cl)ccc1Cl,191.013,11,2.691600000000001
153,"2,5-Dichlorobenzoic acid methyl ester",2905-69-3,Fungicide,COC(=O)c1cc(Cl)ccc1Cl,205.04000000000002,12,2.780000000000001
156,"3-Acetyl-2-(2,6-dimethyl-5-heptenyl)oxazolidine",39785-81-4,Microbiocide,CC(=O)N1CCOC1CC(C)CCC=C(C)C,239.35899999999995,17,2.963800000000001
157,"3-Bromo-1-chloro-5,5-dimethylhydantoin",126-06-7,"Fungicide,Herbicide,Microbiocide",CC1(C)C(=O)N(Br)C(=O)N1Cl,241.472,11,1.4929000000000001
158,"3-chloro-2-biphenylol, sodium salt",10605-11-5,Microbiocide,Oc1c(Cl)cccc1-c1ccccc1,204.656,14,3.712600000000002
160,3-chlorophenoxy-alpha-propionamide,5825-87-6,"Herbicide,Plant Growth Regulator",CC(Oc1cccc(Cl)c1)C(N)=O,199.63699999999997,13,1.5925999999999998
161,3-CPA,101-10-0,"Herbicide,Plant Growth Regulator",CC(Oc1cccc(Cl)c1)C(=O)O,200.62099999999998,13,2.1918999999999995
163,3-iodo-2-propynyl butyl carbamate,55406-53-6,"Fungicide,Wood Preservative",CCCCNC(=O)OCC#CI,281.09299999999996,12,1.9086
164,3-Trifluoromethyl-4-nitrophenol,88-30-2,"Breakdown product,Piscicide",O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,207.10699999999994,14,2.3191999999999995
166,"3,3,4,4-tetrachloro tetrahydro thiophene 1,1-dioxide",3737-41-5,Microbiocide,O=S1(=O)CC(Cl)(Cl)C(Cl)(Cl)C1,257.95300000000003,11,1.7626
167,"3,4-Dichloro-5-isothiazolecarboxylic acid",18480-53-0,Microbiocide,O=C(O)c1snc(Cl)c1Cl,198.03,10,2.1481
168,"3,4-Dichlorobenzyl methylcarbamate",2328-31-6,Insecticide,CNC(=O)OCc1cccc(Cl)c1Cl,234.082,14,2.849400000000001
169,"3,4,4-trimethyl oxazolidine",75673-43-7,Microbiocide,CN1COCC1(C)C,115.17599999999999,8,0.6844999999999998
170,"3,5-dibromosalicylanilide",2577-72-2,Microbiocide,O=C(Nc1ccccc1)c1cc(Br)cc(Br)c1O,371.028,18,4.169500000000002
171,"3,5-Diisopropylphenyl methylcarbamate",330-64-3,Insecticide,CNC(=O)Oc1cc(C(C)C)cc(C(C)C)c1,235.32699999999997,17,3.651600000000003
172,"3(2H)-chloro-2-methyl-3(2H)-isothiazolone, calcium chloride complex",57373-19-0,Microbiocide,Cn1sc(Cl)cc1=O,149.602,8,1.1002
173,4 or 6-chloro-2-phenylphenol,53537-62-5,Microbiocide,Oc1c(Cl)cccc1-c1ccccc1,204.656,14,3.712600000000002
174,4-(((Dimethylamino)methylene)amino)-m-tolyl methylcarbamate,17702-57-7,Insecticide,CNC(=O)Oc1ccc(N=CN(C)C)c(C)c1,235.28699999999998,17,1.93462
175,4-(2-nitrobutyl) morpholine,2224-44-4,Microbiocide,CCC(CN1CCOCC1)[N+](=O)[O-],188.22699999999998,13,0.37390000000000034
176,"4-(2,4-DB), butoxyethanol ester",32357-46-3,Herbicide,CCCCOCCOC(=O)CCCOc1ccc(Cl)cc1Cl,349.254,22,4.512300000000004
177,"4-(Methylamino)-3,5-xylyl methylcarbamate",10389-50-1,Insecticide,CNC(=O)Oc1cc(C)c(NC)c(C)c1,208.261,15,2.06334
178,"4-(Methylformamido)-3,5-xylyl methylcarbamate",10233-94-0,Insecticide,CNC(=O)Oc1cc(C)c(N(C)C=O)c(C)c1,236.271,17,1.6142400000000001
179,4-(Methylthio)-m-tolyl methylcarbamate,3566-00-5,Insecticide,CNC(=O)Oc1ccc(SC)c(C)c1,211.28599999999997,14,2.4351200000000004
180,"4-Amino-3,5-xylyl methylcarbamate",831-76-5,Insecticide,CNC(=O)Oc1cc(C)c(N)c(C)c1,194.23399999999998,14,1.6038400000000002
181,4-aminopyridine,504-24-5,Avicide,Nc1ccncc1,94.11699999999999,7,0.6638000000000001
182,"4-chloro-2-cyclopentyl phenol, potassium salt",35471-38-6,"Fungicide,Microbiocide",Oc1ccc(Cl)cc1C1CCCC1,196.67699999999996,13,3.7032000000000016
183,4-chloro-2-cyclopentylphenol,13347-42-7,"Fungicide,Microbiocide",Oc1ccc(Cl)cc1C1CCCC1,196.67699999999996,13,3.7032000000000016
184,4-chloro-2-n-octyl-3(2H)-isothiazolone,64359-80-4,Microbiocide,CCCCCCCCn1scc(Cl)c1=O,247.791,15,3.923700000000003
185,4-chloro-2-phenylphenol,607-12-5,Microbiocide,Oc1ccc(Cl)cc1-c1ccccc1,204.65600000000003,14,3.712600000000002
186,"4-chloro-2-phenylphenol, potassium salt",53404-21-0,Microbiocide,Oc1ccc(Cl)cc1-c1ccccc1,204.65600000000003,14,3.712600000000002
187,"4-chloro-2-phenylphenol, sodium salt",10605-10-4,Microbiocide,Oc1ccc(Cl)cc1-c1ccccc1,204.65600000000003,14,3.712600000000002
188,"4-chloro-cyclopentylphenol, sodium salt",53404-20-9,"Fungicide,Microbiocide",Oc1ccc(Cl)cc1C1CCCC1,196.67699999999996,13,3.7032000000000016
189,"4-hydroxy-2,5-dimethyl-3-(2H)furanone",3658-77-3,Insecticide,CC1=C(O)C(=O)C(C)O1,128.12699999999998,9,0.7637
190,"4,4-(2-ethyl-2-nitrotrimethylene) dimorpholine",1854-23-5,Microbiocide,CCC(CN1CCOCC1)(CN1CCOCC1)[N+](=O)[O-],287.35999999999996,20,0.07630000000000225
191,"4,4-dimethyl oxazolidine",51200-87-4,"Impurity,Microbiocide",CC1(C)COCN1,101.149,7,0.3422999999999999
192,"4,4-dimethyl-2-oxazolidinone",26654-39-7,Microbiocide,CC1(C)COC(=O)N1,115.13199999999999,8,0.5047999999999999
193,"4,5-dibromosalicylanilide",87-12-7,Microbiocide,O=C(Nc1ccc(Br)cc1)c1cc(Br)ccc1O,371.028,18,4.169500000000001
194,"4,5-dichloro-2-n-octyl-3(2H)-isothiazolone",64359-81-5,"Antifoulant,Microbiocide",CCCCCCCCn1sc(Cl)c(Cl)c1=O,282.23600000000005,16,4.577100000000004
195,"4,6-dichloro-2-phenylphenol",5335-24-0,Microbiocide,Oc1c(Cl)cc(Cl)cc1-c1ccccc1,239.101,15,4.366000000000001
196,"4,6-dichloro-2-phenylphenol, potassium salt",53404-30-1,Microbiocide,Oc1c(Cl)cc(Cl)cc1-c1ccccc1,239.101,15,4.366000000000001
197,4'-hydroxy-m-phenoxy benzoic acid,35065-12-4,"Fungicide,Microbiocide",O=C(O)c1cccc(Oc2ccc(O)cc2)c1,230.219,17,2.8827000000000007
198,"5-Benzyl-3-furylmethyl (+)-cis-(1R,3S,E)2,2-dimethyl-3-(2-oxo-2,3,4,5-tetrahydrothiophenylidenemethyl)cyclopropanecarboxylate",58769-20-3,Insecticide,CC1(C)C(C(=O)OCc2coc(Cc3ccccc3)c2)[C@H]1/C=C1\CCSC1=O,396.50800000000015,28,4.775700000000005
199,"5-Bromo-2-methyl-5-nitro-1,3-dioxane",53983-00-9,Microbiocide,CC1OCC(Br)([N+](=O)[O-])CO1,226.02599999999998,11,0.7471
201,5-chloro-2-(4-chlorophenylmethyl)-3(2H)-isothiazolone,66159-95-3,Microbiocide,O=c1cc(Cl)sn1Cc1ccc(Cl)cc1,260.145,15,3.2649000000000017
204,"5-hydroxy methoxy methyl-1-aza-3,7-dioxabicyclo (3.3.0) octane",59720-42-2,Microbiocide,OCOCC12COCN1COC2,175.18399999999997,12,-1.0309999999999997
205,"5-hydroxymethyl-1-aza-3,7-dioxabicyclo (3.3.0) octane",6542-37-6,Microbiocide,OCC12COCN1COC2,145.158,10,-1.0050999999999999
206,"5-hydroxypoly (methyleneoxy) (74%C2, 21%C3, 4%C4, 1%C5) methyl-1-aza-3,7-dioxabicyclo (3.3.0) octane",56709-13-8,Microbiocide,OCOCC12COCN1COC2,175.18399999999997,12,-1.0309999999999997
207,"5,6,7,8-Tetrahydro-1-naphthyl methylcarbamate",1136-84-1,Insecticide,CNC(=O)Oc1cccc2c1CCCC2,205.25699999999992,15,2.2836000000000007
208,6-chloro-2-phenylphenol,85-97-2,Microbiocide,Oc1c(Cl)cccc1-c1ccccc1,204.656,14,3.712600000000002
209,"6-chloro-2-phenylphenol, potassium salt",18128-17-1,Microbiocide,Oc1c(Cl)cccc1-c1ccccc1,204.656,14,3.712600000000002
210,6-chloropicolinic acid,4684-94-0,Herbicide,O=C(O)c1cccc(Cl)n1,157.55599999999998,10,1.4332
